key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
wbb0271,,runs,63.0,,,,,Hobart Hurricanes
wbb0272,,runs,30.0,,,,,Melbourne Stars
wbb0273,,wickets,8.0,,,,,Adelaide Strikers
wbb0274,,,,,,,no result,
wbb0275,,runs,81.0,,,,,Perth Scorchers
wbb0276,,wickets,7.0,,,,,Melbourne Renegades
wbb0277,,runs,5.0,,,,,Brisbane Heat
wbb0278,,wickets,8.0,,,,,Brisbane Heat
wbb0279,,runs,12.0,,,,,Melbourne Stars
wbb0280,,wickets,6.0,,,,,Hobart Hurricanes
wbb0281,,runs,9.0,,,,,Melbourne Renegades
wbb0282,,runs,14.0,,,,,Brisbane Heat
wbb0283,,,,,Perth Scorchers,,tie,
wbb0284,,runs,19.0,,,,,Sydney Thunder
wbb0285,,runs,12.0,,,,,Melbourne Renegades
wbb0286,,runs,44.0,,,,,Sydney Sixers
wbb0287,,wickets,8.0,,,,,Melbourne Stars
wbb0288,,wickets,6.0,,,,,Melbourne Renegades
wbb0289,,runs,37.0,,,,,Sydney Thunder
wbb0290,,runs,40.0,,,,,Perth Scorchers
wbb0291,,runs,31.0,,,,,Sydney Sixers
wbb0292,,runs,2.0,,,,,Hobart Hurricanes
wbb0293,,runs,37.0,,,,,Melbourne Stars
wbb0294,,runs,15.0,,,,,Melbourne Renegades
wbb0295,,wickets,5.0,,,,,Perth Scorchers
wbb0296,,wickets,7.0,,,,,Melbourne Renegades
wbb0297,,wickets,5.0,,,,,Brisbane Heat
wbb0298,,runs,18.0,,,,,Adelaide Strikers
wbb0299,,wickets,8.0,,,,,Brisbane Heat
wbb0300,,wickets,8.0,,,,,Adelaide Strikers
wbb0301,,wickets,10.0,,,,,Perth Scorchers
wbb0302,,,,,,,no result,
wbb0303,,wickets,3.0,,,,,Brisbane Heat
wbb0304,,runs,48.0,,,,,Adelaide Strikers
wbb0305,,wickets,6.0,,,,,Sydney Thunder
wbb0306,,wickets,8.0,,,,,Adelaide Strikers
wbb0307,,runs,4.0,,,,,Melbourne Renegades
wbb0308,,runs,12.0,,,,,Perth Scorchers
wbb0309,,runs,9.0,,,,,Sydney Thunder
wbb0310,,runs,52.0,,,,,Hobart Hurricanes
wbb0311,,runs,43.0,,,,,Brisbane Heat
wbb0312,,runs,4.0,,,,,Hobart Hurricanes
wbb0313,,wickets,8.0,,,,,Adelaide Strikers
wbb0314,,wickets,4.0,,,,,Perth Scorchers
wbb0315,,wickets,9.0,,,,,Melbourne Stars
wbb0316,,wickets,8.0,,,,,Perth Scorchers
wbb0317,,wickets,8.0,,,,,Adelaide Strikers
wbb0318,,wickets,9.0,,,,,Adelaide Strikers
wbb0319,,runs,12.0,,,,,Perth Scorchers
wbb0320,,wickets,4.0,,,,,Sydney Sixers
wbb0321,,runs,19.0,,,,,Hobart Hurricanes
wbb0322,,runs,17.0,,,,,Sydney Sixers
wbb0323,,wickets,9.0,,,,,Perth Scorchers
wbb0324,,runs,27.0,,,,,Sydney Sixers
wbb0325,,wickets,4.0,,,,,Melbourne Renegades
wbb0326,,wickets,8.0,,,,,Perth Scorchers
wbb0327,,runs,49.0,,,,,Hobart Hurricanes
wbb0328,,runs,21.0,,,,,Brisbane Heat
wbb0329,,wickets,2.0,,,,,Perth Scorchers
wbb0330,,wickets,2.0,,,,,Perth Scorchers
wbb0331,,runs,3.0,,,,,Adelaide Strikers
wbb0332,,runs,26.0,,,,,Brisbane Heat
wbb0333,,runs,25.0,,,,,Sydney Thunder
wbb0334,,,,,,,no result,
wbb0335,,wickets,8.0,,,,,Adelaide Strikers
wbb0336,,runs,3.0,,,D/L,,Brisbane Heat
wbb0337,,runs,31.0,,,,,Adelaide Strikers
wbb0338,,wickets,6.0,,,,,Adelaide Strikers
wbb0339,,runs,3.0,,,,,Perth Scorchers
wbb0340,,wickets,6.0,,,,,Melbourne Stars
wbb0341,,wickets,8.0,,,,,Sydney Sixers
wbb0342,,runs,37.0,,,,,Sydney Sixers
wbb0343,,,,,,,no result,
wbb0344,,runs,15.0,,,,,Sydney Sixers
wbb0345,,runs,22.0,,,,,Melbourne Stars
wbb0346,,wickets,4.0,,,,,Hobart Hurricanes
wbb0347,,runs,14.0,,,,,Brisbane Heat
wbb0348,,wickets,9.0,,,,,Perth Scorchers
wbb0349,,wickets,5.0,,,,,Adelaide Strikers
wbb0350,,wickets,7.0,,,,,Adelaide Strikers
