key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
wbb0175,Perth,Women's Big Bash League,2019-11-02,female,T20,,20,L Lee,W.A.C.A. Ground
wbb0176,Perth,Women's Big Bash League,2019-11-02,female,T20,,20,D van Niekerk,W.A.C.A. Ground
wbb0177,Mackay,Women's Big Bash League,2019-11-03,female,T20,,20,BL Mooney,Harrup Park
wbb0178,Burnie,Women's Big Bash League,2019-11-03,female,T20,,20,RH Priest,West Park Oval
wbb0179,Sydney,Women's Big Bash League,2019-11-09,female,T20,,20,JL Jonassen,North Sydney Oval
wbb0180,Adelaide,Women's Big Bash League,2019-11-09,female,T20,,20,AE Jones,Karen Rolton Oval
wbb0181,Melbourne,Women's Big Bash League,2019-11-09,female,T20,,20,JE Cameron,Junction Oval
wbb0182,Melbourne,Women's Big Bash League,2019-11-10,female,T20,,20,M Strano,Junction Oval
wbb0183,Adelaide,Women's Big Bash League,2019-11-10,female,T20,,20,H Graham,Karen Rolton Oval
wbb0184,Adelaide,Women's Big Bash League,2019-11-10,female,T20,,20,SFM Devine,Karen Rolton Oval
wbb0185,Perth,Women's Big Bash League,2019-11-12,female,T20,,20,NR Sciver,W.A.C.A. Ground
wbb0186,Melbourne,Women's Big Bash League,2019-11-13,female,T20,,20,M du Preez,Junction Oval
wbb0187,Launceston,Women's Big Bash League,2019-11-13,female,T20,,20,EA Perry,Invermay Park
wbb0188,Sydney,Women's Big Bash League,2019-11-15,female,T20,,20,EA Perry,Drummoyne Oval
wbb0189,Nuriootpa,Women's Big Bash League,2019-11-16,female,T20,,20,SFM Devine,Nuriootpa Centennial Park
wbb0190,Sydney,Women's Big Bash League,2019-11-16,female,T20,,20,AC Kerr,Drummoyne Oval
wbb0191,Sydney,Women's Big Bash League,2019-11-17,female,T20,,20,C Webb,Drummoyne Oval
wbb0192,Sydney,Women's Big Bash League,2019-11-17,female,T20,,20,JL Jonassen,Drummoyne Oval
wbb0193,Melbourne,Women's Big Bash League,2019-11-20,female,T20,,20,AE Jones,Junction Oval
wbb0194,Hobart,Women's Big Bash League,2019-11-22,female,T20,,20,AC Kerr,Bellerive Oval
wbb0195,Ballarat,Women's Big Bash League,2019-11-23,female,T20,,20,A Lanning,Eastern Oval
wbb0196,Hobart,Women's Big Bash League,2019-11-23,female,T20,,20,SW Bates,Bellerive Oval
wbb0197,Perth,Women's Big Bash League,2019-11-24,female,T20,,20,MM Lanning,Lilac Hill Park
wbb0198,Hobart,Women's Big Bash League,2019-11-24,female,T20,,20,SFM Devine,Bellerive Oval
wbb0199,Canberra,Women's Big Bash League,2019-11-27,female,T20,,20,AJ Blackwell,Manuka Oval
wbb0200,Brisbane,Women's Big Bash League,2019-11-27,female,T20,,20,DN Wyatt,Allan Border Field
wbb0201,Perth,Women's Big Bash League,2019-11-30,female,T20,,20,EG Fazackerley,Lilac Hill Park
