key_id,city,date,gender,match_type,match_type_number,neutral_venue,overs,player_of_match,venue
odis0225,Kuala Lumpur,2006-09-20,male,ODI,,1.0,50,Harbhajan Singh,Kinrara Academy Oval
odis0226,Kuala Lumpur,2006-09-22,male,ODI,,1.0,50,B Lee,Kinrara Academy Oval
odis0227,Kuala Lumpur,2006-09-24,male,ODI,,1.0,50,B Lee,Kinrara Academy Oval
odis0228,Chandigarh,2006-10-07,male,ODI,,1.0,50,WU Tharanga,"Punjab Cricket Association Stadium, Mohali"
odis0229,Ahmedabad,2006-10-08,male,ODI,,1.0,50,CH Gayle,"Sardar Patel Stadium, Motera"
odis0230,Ahmedabad,2006-10-10,male,ODI,,1.0,50,WU Tharanga,"Sardar Patel Stadium, Motera"
odis0231,Jaipur,2006-10-11,male,ODI,,1.0,50,CH Gayle,Sawai Mansingh Stadium
odis0232,Jaipur,2006-10-13,male,ODI,,1.0,50,Shahriar Nafees,Sawai Mansingh Stadium
odis0233,Mumbai,2006-10-14,male,ODI,,1.0,50,MF Maharoof,Brabourne Stadium
odis0234,Jaipur,2006-10-15,male,ODI,,,50,MM Patel,Sawai Mansingh Stadium
odis0235,Mumbai,2006-10-16,male,ODI,,1.0,50,SP Fleming,Brabourne Stadium
odis0236,Jaipur,2006-10-17,male,ODI,,1.0,50,Abdul Razzaq,Sawai Mansingh Stadium
odis0237,Mumbai,2006-10-18,male,ODI,,1.0,50,RS Morton,Brabourne Stadium
odis0238,Mumbai,2006-10-20,male,ODI,,1.0,50,M Muralitharan,Brabourne Stadium
odis0239,Jaipur,2006-10-21,male,ODI,,1.0,50,DR Martyn,Sawai Mansingh Stadium
odis0240,Ahmedabad,2006-10-24,male,ODI,,1.0,50,SM Pollock,"Sardar Patel Stadium, Motera"
odis0241,Chandigarh,2006-10-25,male,ODI,,1.0,50,SP Fleming,"Punjab Cricket Association Stadium, Mohali"
odis0242,Ahmedabad,2006-10-26,male,ODI,,,50,S Chanderpaul,"Sardar Patel Stadium, Motera"
odis0243,Chandigarh,2006-10-27,male,ODI,,1.0,50,M Ntini,"Punjab Cricket Association Stadium, Mohali"
odis0244,Ahmedabad,2006-10-28,male,ODI,,1.0,50,CH Gayle,"Sardar Patel Stadium, Motera"
odis0245,Chandigarh,2006-10-29,male,ODI,,,50,DR Martyn,"Punjab Cricket Association Stadium, Mohali"
