key_id,data_version,created,revision
odis0386,0.91,2015-09-04,1
odis0387,0.91,2015-09-04,1
odis0388,0.91,2015-09-07,1
odis0389,0.91,2015-09-04,1
odis0390,0.91,2015-09-07,1
odis0391,0.91,2015-09-04,1
odis0392,0.91,2015-09-04,1
odis0393,0.91,2015-09-04,1
odis0394,0.91,2015-09-04,2
odis0395,0.91,2015-09-04,1
odis0396,0.91,2015-09-04,1
odis0397,0.91,2015-09-04,1
odis0398,0.91,2015-09-04,1
odis0399,0.91,2015-09-04,1
odis0400,0.91,2015-09-04,1
odis0401,0.91,2015-09-04,1
odis0402,0.91,2015-09-04,1
odis0403,0.91,2015-09-02,1
odis0404,0.91,2015-09-02,1
odis0405,0.91,2015-09-02,1
odis0406,0.91,2015-09-02,1
odis0407,0.91,2015-09-02,1
odis0408,0.91,2015-09-02,1
odis0409,0.91,2015-09-02,1
odis0410,0.91,2015-09-02,1
odis0411,0.91,2015-09-02,1
odis0412,0.91,2015-09-02,1
odis0413,0.91,2015-09-02,1
odis0414,0.91,2015-09-02,1
odis0415,0.91,2015-09-02,1
odis0416,0.91,2015-09-02,1
odis0417,0.91,2015-09-02,1
odis0418,0.91,2015-09-02,1
odis0419,0.91,2015-09-02,1
odis0420,0.91,2015-08-31,1
odis0421,0.91,2015-09-01,1
odis0422,0.91,2015-09-01,1
odis0423,0.91,2015-08-31,1
odis0424,0.91,2015-09-01,1
odis0425,0.91,2015-08-31,1
odis0426,0.91,2015-09-01,1
odis0427,0.91,2015-08-31,1
odis0428,0.91,2015-08-31,2
odis0429,0.91,2015-08-31,1
odis0430,0.91,2015-08-31,1
odis0431,0.91,2015-08-31,1
odis0432,0.91,2015-08-31,1
odis0433,0.91,2015-08-31,1
odis0434,0.91,2015-08-31,1
odis0435,0.91,2015-08-31,1
odis0436,0.91,2015-08-31,1
odis0437,0.91,2015-08-31,1
odis0438,0.91,2015-08-31,1
odis0439,0.91,2015-08-31,1
odis0440,0.91,2015-08-31,1
odis0441,0.91,2020-11-17,1
odis0442,0.91,2020-11-17,1
odis0443,0.91,2020-11-17,1
odis0444,0.91,2015-08-31,1
odis0445,0.91,2015-08-31,1
odis0446,0.91,2015-08-31,1
odis0447,0.91,2015-08-31,1
odis0448,0.91,2015-08-31,1
odis0449,0.91,2015-08-30,1
odis0450,0.91,2015-08-30,1
odis0451,0.91,2015-08-30,1
odis0452,0.91,2015-08-30,1
odis0453,0.91,2015-08-30,1
odis0454,0.91,2015-08-30,1
odis0455,0.91,2015-08-30,1
odis0456,0.91,2015-08-30,1
odis0457,0.91,2015-08-30,1
odis0458,0.91,2015-08-30,1
odis0459,0.91,2015-08-30,1
odis0460,0.91,2015-08-30,1
odis0461,0.91,2015-08-30,1
odis0462,0.91,2020-11-17,1
odis0463,0.91,2020-11-17,1
odis0464,0.91,2015-08-29,1
odis0465,0.91,2015-08-29,2
odis0466,0.91,2015-08-29,1
odis0467,0.91,2015-08-29,1
odis0468,0.91,2015-08-28,1
odis0469,0.91,2015-08-28,1
odis0470,0.91,2015-08-28,1
odis0471,0.91,2015-08-25,2
odis0472,0.91,2015-08-24,2
odis0473,0.91,2015-08-24,1
odis0474,0.91,2015-08-25,1
odis0475,0.91,2015-08-25,1
odis0476,0.91,2015-09-01,1
odis0477,0.91,2015-08-25,2
odis0478,0.91,2015-08-25,1
odis0479,0.91,2015-08-24,1
odis0480,0.91,2015-08-25,2
odis0481,0.91,2015-08-27,1
odis0482,0.91,2015-08-25,1
odis0483,0.91,2015-08-26,1
odis0484,0.91,2015-08-24,1
odis0485,0.91,2015-08-25,1
odis0486,0.91,2015-08-26,1
odis0487,0.91,2015-08-26,1
odis0488,0.91,2015-08-26,1
odis0489,0.91,2015-08-24,1
odis0490,0.91,2015-08-26,1
odis0491,0.91,2015-08-24,1
odis0492,0.91,2015-08-24,1
odis0493,0.91,2015-08-24,1
odis0494,0.91,2015-08-23,1
odis0495,0.91,2015-08-23,1
odis0496,0.91,2015-08-23,2
odis0497,0.91,2015-08-22,1
odis0498,0.91,2015-08-22,1
odis0499,0.91,2015-08-22,1
odis0500,0.91,2015-08-22,1
odis0501,0.91,2015-08-22,1
odis0502,0.91,2015-08-22,1
odis0503,0.91,2015-08-22,1
odis0504,0.91,2015-08-22,1
odis0505,0.91,2015-08-22,1
odis0506,0.91,2015-08-22,1
odis0507,0.91,2015-08-21,1
odis0508,0.91,2015-08-21,2
odis0509,0.91,2015-08-19,1
odis0510,0.91,2015-08-17,2
odis0511,0.91,2015-05-08,1
