key_id,decision,winner
odis0658,field,New Zealand
odis0659,bat,West Indies
odis0660,field,New Zealand
odis0661,field,West Indies
odis0662,field,West Indies
odis0663,bat,Australia
odis0664,field,South Africa
odis0665,bat,India
odis0666,bat,South Africa
odis0667,field,England
odis0668,field,England
odis0669,bat,Australia
odis0670,bat,Zimbabwe
odis0671,field,Bangladesh
odis0672,bat,Zimbabwe
odis0673,bat,Australia
odis0674,field,Australia
odis0675,field,Zimbabwe
odis0676,field,Australia
odis0677,field,West Indies
odis0678,field,Australia
odis0679,field,West Indies
odis0680,field,West Indies
odis0681,bat,South Africa
odis0682,bat,India
odis0683,bat,South Africa
odis0684,field,India
odis0685,bat,West Indies
odis0686,field,Sri Lanka
odis0687,field,Zimbabwe
odis0688,bat,West Indies
odis0689,field,Sri Lanka
odis0690,field,Zimbabwe
odis0691,field,Sri Lanka
odis0692,bat,Sri Lanka
odis0693,bat,Bangladesh
odis0694,bat,Australia
odis0695,bat,Sri Lanka
odis0696,bat,Pakistan
odis0697,bat,Pakistan
odis0698,field,Sri Lanka
odis0699,bat,Australia
odis0700,bat,India
odis0701,bat,Australia
odis0702,field,England
odis0703,field,England
odis0704,bat,Australia
odis0705,bat,Canada
odis0706,bat,Bangladesh
odis0707,field,England
odis0708,field,Bangladesh
odis0709,bat,Ireland
odis0710,bat,New Zealand
odis0711,bat,New Zealand
odis0712,bat,Sri Lanka
odis0713,bat,Scotland
odis0714,bat,Afghanistan
odis0715,bat,Netherlands
odis0716,field,New Zealand
odis0717,bat,India
odis0718,bat,India
odis0719,bat,Sri Lanka
odis0720,bat,Ireland
odis0721,field,Pakistan
odis0722,bat,Pakistan
odis0723,bat,Pakistan
odis0724,bat,Pakistan
odis0725,bat,England
odis0726,bat,Bangladesh
odis0727,field,Bangladesh
odis0728,field,New Zealand
odis0729,bat,South Africa
odis0730,bat,Bangladesh
odis0731,bat,Zimbabwe
odis0732,field,India
odis0733,bat,South Africa
odis0734,bat,Pakistan
odis0735,bat,South Africa
odis0736,field,Pakistan
odis0737,bat,Australia
odis0738,bat,South Africa
odis0739,bat,Sri Lanka
odis0740,bat,Sri Lanka
odis0741,bat,South Africa
odis0742,field,New Zealand
odis0743,field,Bangladesh
odis0744,field,India
odis0745,field,Bangladesh
odis0746,field,India
odis0747,field,Zimbabwe
odis0748,field,India
odis0749,bat,New Zealand
odis0750,bat,Zimbabwe
odis0751,bat,South Africa
odis0752,bat,India
odis0753,bat,England
odis0754,bat,South Africa
odis0755,bat,South Africa
odis0756,field,England
odis0757,bat,Pakistan
odis0758,field,India
odis0759,bat,England
odis0760,field,New Zealand
odis0761,bat,England
odis0762,field,New Zealand
odis0763,bat,Australia
odis0764,bat,West Indies
odis0765,bat,New Zealand
odis0766,bat,England
odis0767,field,New Zealand
odis0768,field,Sri Lanka
odis0769,field,Pakistan
odis0770,field,West Indies
odis0771,bat,Australia
odis0772,field,Bangladesh
odis0773,bat,Sri Lanka
odis0774,bat,Kenya
odis0775,bat,Australia
odis0776,bat,Netherlands
odis0777,bat,Pakistan
odis0778,field,South Africa
