key_id,player_of_match
odis0528,SE Marsh
odis0528,
odis0529,Salman Butt
odis0529,
odis0530,TM Dilshan
odis0530,
odis0531,Mashrafe Mortaza
odis0531,
odis0532,JA Morkel
odis0532,
odis0533,TM Dilshan
odis0533,
odis0534,AB de Villiers
odis0534,
odis0535,ST Jayasuriya
odis0535,
odis0536,HM Amla
odis0536,
odis0537,I Sharma
odis0537,
odis0539,KD Mills
odis0539,
odis0540,Yuvraj Singh
odis0540,
odis0541,G Gambhir
odis0541,
odis0542,MJ Clarke
odis0542,
odis0543,KC Sangakkara
odis0543,
odis0544,BJ Haddin
odis0544,
odis0545,DJ Hussey
odis0545,
odis0547,MS Dhoni
odis0547,
odis0549,SR Tendulkar
odis0549,
odis0550,CMG Atkins
odis0550,
odis0551,V Sehwag
odis0551,
odis0552,JD Ryder
odis0552,
odis0553,PD Collingwood
odis0553,
odis0554,S Chanderpaul
odis0554,
odis0555,DJ Bravo
odis0555,
odis0556,AJ Strauss
odis0556,
odis0557,WTS Porterfield
odis0557,
odis0558,A Flintoff
odis0558,
odis0559,MEK Hussey
odis0559,
odis0560,WD Parnell
odis0560,
odis0561,A Bagai
odis0561,
odis0562,JH Kallis
odis0562,
odis0563,HH Gibbs
odis0563,
odis0564,NM Hauritz
odis0564,
odis0565,Mohammad Nabi
odis0565,
odis0566,Shahid Afridi
odis0566,
odis0567,A Symonds
odis0567,
odis0568,MJ Clarke
odis0568,
odis0569,DE Bollinger
odis0569,
odis0570,Kamran Akmal
odis0570,
odis0571,PD Collingwood
odis0571,
odis0572,MJ Prior
odis0572,
odis0573,Yuvraj Singh
odis0573,
odis0574,R Rampaul
odis0574,
odis0575,SJ Taylor
odis0575,
odis0576,MS Dhoni
odis0576,
odis0578,Abdur Razzak
odis0578,
odis0579,Shakib Al Hasan
odis0579,
odis0580,M Muralitharan
odis0580,
odis0581,Mahmudullah
odis0581,
odis0582,CK Kapugedera
odis0582,
odis0583,DPMD Jayawardene
odis0583,
odis0584,Umar Akmal
odis0584,
odis0585,Mohammad Ashraful
odis0585,
odis0586,Naved-ul-Hasan
odis0586,
odis0587,Shakib Al Hasan
odis0587,
odis0588,E Chigumbura
odis0588,
odis0589,CK Coventry
odis0589,Tamim Iqbal
odis0589,
odis0590,Dolar Mahmud
odis0590,
odis0591,Khurram Chohan
odis0591,
odis0592,DT Johnston
odis0592,
odis0593,CJ Ferguson
odis0593,
odis0594,MG Johnson
odis0594,
odis0595,TT Samaraweera
odis0595,
odis0596,CL White
odis0596,
odis0597,A Nehra
odis0597,
odis0598,AD Mathews
odis0598,
odis0599,B Lee
odis0599,
odis0600,SR Tendulkar
odis0600,
odis0601,RT Ponting
odis0601,
odis0602,TD Paine
odis0602,
odis0603,GP Swann
odis0603,
odis0604,TM Dilshan
odis0604,
odis0605,Umar Akmal
odis0605,
odis0606,WD Parnell
odis0606,
odis0607,PD Collingwood
odis0607,
odis0608,Shoaib Malik
odis0608,
odis0609,MG Johnson
odis0609,
odis0610,OA Shah
odis0610,
odis0611,DL Vettori
odis0611,
odis0613,GD Elliott
odis0613,
odis0614,V Kohli
odis0614,
odis0615,MEK Hussey
odis0615,
odis0616,SR Watson
odis0616,
odis0617,DL Vettori
odis0617,
odis0618,SR Watson
odis0618,
odis0619,C Brits
odis0619,
odis0620,MEK Hussey
odis0620,
odis0621,E Chigumbura
odis0621,
odis0622,MS Dhoni
odis0622,
odis0623,Abdur Razzak
odis0623,
odis0624,Tamim Iqbal
odis0624,
odis0625,Yuvraj Singh
odis0625,
odis0626,SR Watson
odis0626,
odis0627,Shahid Afridi
odis0627,
odis0628,Nazmul Hossain
odis0628,
odis0629,Naeem Islam
odis0629,
odis0630,SR Tendulkar
odis0630,
odis0631,BB McCullum
odis0631,
odis0632,T Taibu
odis0632,
odis0633,DE Bollinger
odis0633,
odis0634,Mohammad Amir
odis0634,
odis0635,JP Duminy
odis0635,
odis0636,PD Collingwood
odis0636,
odis0637,AB de Villiers
odis0637,
odis0638,JM Anderson
odis0638,
odis0639,V Sehwag
odis0639,
odis0640,TM Dilshan
odis0640,
odis0641,RA Jadeja
odis0641,
odis0642,G Gambhir
odis0642,
odis0644,TM Dilshan
odis0644,
odis0645,TT Samaraweera
odis0645,
odis0646,MS Dhoni
odis0646,
odis0647,WU Tharanga
odis0647,
odis0648,Z Khan
odis0648,
odis0649,V Kohli
odis0649,
odis0650,KMDN Kulasekara
odis0650,
odis0651,CL White
odis0651,
odis0652,SR Watson
odis0652,
odis0653,RJ Harris
odis0653,
odis0654,RJ Harris
odis0654,
odis0655,CJ McKay
odis0655,
odis0656,JDP Oram
odis0656,
odis0657,SR Watson
odis0657,
odis0658,LRPL Taylor
odis0658,
odis0659,DE Bollinger
odis0659,
odis0660,MJ Guptill
odis0660,
odis0662,RT Ponting
odis0662,
odis0663,JR Hopes
odis0663,
odis0664,RA Jadeja
odis0664,
odis0665,SR Tendulkar
odis0665,
odis0666,AB de Villiers
odis0666,
odis0667,Tamim Iqbal
odis0667,
odis0668,EJG Morgan
odis0668,
odis0669,LRPL Taylor
odis0669,
odis0670,V Sibanda
odis0670,
odis0671,C Kieswetter
odis0671,
odis0672,N Deonarine
odis0672,
odis0673,DL Vettori
odis0673,
odis0674,BJ Haddin
odis0674,
odis0675,DJG Sammy
odis0675,
odis0676,CL White
odis0676,
odis0677,DJ Bravo
odis0677,
odis0678,TG Southee
odis0678,
odis0679,CH Gayle
odis0679,
odis0680,HM Amla
odis0680,
odis0681,HM Amla
odis0681,
odis0682,BRM Taylor
odis0682,
odis0683,AB de Villiers
odis0683,
odis0684,RG Sharma
odis0684,
odis0685,HM Amla
odis0685,
odis0686,S Randiv
odis0686,
odis0687,BRM Taylor
odis0687,
odis0688,JH Kallis
odis0688,
odis0689,LD Chandimal
odis0689,
odis0690,BRM Taylor
odis0690,
odis0691,TM Dilshan
odis0691,
odis0692,Shahid Afridi
odis0692,
odis0693,G Gambhir
odis0693,
odis0694,JR Hopes
odis0694,
odis0695,TM Dilshan
odis0695,
odis0696,G Gambhir
odis0696,
odis0697,Shahid Afridi
odis0697,
odis0698,MF Maharoof
odis0698,
odis0699,EJG Morgan
odis0699,
