key_id,teams
odis0463,Sri Lanka
odis0464,Bangladesh
odis0464,Pakistan
odis0465,India
odis0465,Pakistan
odis0466,Bangladesh
odis0466,India
odis0467,India
odis0467,Pakistan
odis0468,England
odis0468,New Zealand
odis0469,England
odis0469,New Zealand
odis0470,England
odis0470,New Zealand
odis0471,Pakistan
odis0471,Hong Kong
odis0472,Bangladesh
odis0472,United Arab Emirates
odis0473,West Indies
odis0473,Australia
odis0474,Hong Kong
odis0474,India
odis0475,Bangladesh
odis0475,Sri Lanka
odis0476,England
odis0476,New Zealand
odis0477,Pakistan
odis0477,India
odis0478,Sri Lanka
odis0478,United Arab Emirates
odis0479,West Indies
odis0479,Australia
odis0480,Bangladesh
odis0480,India
odis0481,England
odis0481,New Zealand
odis0482,Pakistan
odis0482,Sri Lanka
odis0483,Canada
odis0483,Bermuda
odis0484,West Indies
odis0484,Australia
odis0485,Bangladesh
odis0485,Sri Lanka
odis0486,Pakistan
odis0486,India
odis0487,India
odis0487,Sri Lanka
odis0488,Pakistan
odis0488,Bangladesh
odis0489,West Indies
odis0489,Australia
odis0490,India
odis0490,Sri Lanka
odis0491,West Indies
odis0491,Australia
odis0492,Netherlands
odis0492,Scotland
odis0493,Ireland
odis0493,Scotland
odis0494,Scotland
odis0494,Kenya
odis0495,Sri Lanka
odis0495,India
odis0496,Sri Lanka
odis0496,India
odis0497,England
odis0497,South Africa
odis0498,Sri Lanka
odis0498,India
odis0499,Ireland
odis0499,Kenya
odis0500,England
odis0500,South Africa
odis0501,Sri Lanka
odis0501,India
odis0502,Sri Lanka
odis0502,India
odis0503,England
odis0503,South Africa
odis0504,Australia
odis0504,Bangladesh
odis0505,England
odis0505,South Africa
odis0506,Australia
odis0506,Bangladesh
odis0507,England
odis0507,South Africa
odis0508,Australia
odis0508,Bangladesh
odis0509,Ireland
odis0509,Zimbabwe
odis0510,South Africa
odis0510,Kenya
odis0511,South Africa
odis0511,Bangladesh
odis0512,Pakistan
odis0512,West Indies
odis0513,Pakistan
odis0513,West Indies
odis0514,India
odis0514,England
odis0515,India
odis0515,England
odis0516,Zimbabwe
odis0516,Sri Lanka
odis0517,India
odis0517,England
odis0518,Zimbabwe
odis0518,Sri Lanka
odis0519,India
odis0519,England
odis0520,Zimbabwe
odis0520,Sri Lanka
odis0521,India
odis0521,England
odis0522,Zimbabwe
odis0522,Sri Lanka
odis0523,New Zealand
odis0523,West Indies
odis0524,New Zealand
odis0524,West Indies
odis0525,Bangladesh
odis0525,Zimbabwe
odis0526,Bangladesh
odis0526,Sri Lanka
odis0527,Australia
odis0527,South Africa
odis0528,Australia
odis0528,South Africa
odis0529,Pakistan
odis0529,Sri Lanka
odis0530,Pakistan
odis0530,Sri Lanka
odis0531,Bangladesh
odis0531,Zimbabwe
odis0532,Australia
odis0532,South Africa
odis0533,Pakistan
odis0533,Sri Lanka
