key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
apl0001,1,Paktia Panthers,15.6,Shahid Afridi,Fareed Ahmad,Sikandar Raza,0,0,0,0,,,,,,15,6
apl0001,1,Paktia Panthers,16.1,Sikandar Raza,Rashid Khan,Shahid Afridi,4,0,0,4,,,,,,16,1
apl0001,1,Paktia Panthers,16.2,Sikandar Raza,Rashid Khan,Shahid Afridi,0,0,0,0,,,,,,16,2
apl0001,1,Paktia Panthers,16.3,Sikandar Raza,Rashid Khan,Shahid Afridi,0,0,0,0,,,,,,16,3
apl0001,1,Paktia Panthers,16.4,Sikandar Raza,Rashid Khan,Shahid Afridi,0,0,0,0,,,,,,16,4
apl0001,1,Paktia Panthers,16.5,Sikandar Raza,Rashid Khan,Shahid Afridi,0,0,0,0,,,,,,16,5
apl0001,1,Paktia Panthers,16.6,Sikandar Raza,Rashid Khan,Shahid Afridi,0,0,0,0,,,,,,16,6
apl0001,1,Paktia Panthers,17.1,Shahid Afridi,WD Parnell,Sikandar Raza,0,0,0,0,,,,,,17,1
apl0001,1,Paktia Panthers,17.2,Shahid Afridi,WD Parnell,Sikandar Raza,1,0,0,1,,,,,,17,2
apl0001,1,Paktia Panthers,17.3,Sikandar Raza,WD Parnell,Shahid Afridi,0,1,0,1,,,,noballs,1.0,17,3
apl0001,1,Paktia Panthers,17.4,Sikandar Raza,WD Parnell,Shahid Afridi,4,0,0,4,,,,,,17,3
apl0001,1,Paktia Panthers,17.5,Sikandar Raza,WD Parnell,Shahid Afridi,1,0,0,1,,,,,,17,4
apl0001,1,Paktia Panthers,17.6,Shahid Afridi,WD Parnell,Sikandar Raza,0,0,0,0,,,,,,17,5
apl0001,1,Paktia Panthers,17.7,Shahid Afridi,WD Parnell,Sikandar Raza,0,0,0,0,,bowled,Shahid Afridi,,,17,6
apl0001,1,Paktia Panthers,18.1,Sikandar Raza,Ali Khan,CS MacLeod,6,0,0,6,,,,,,18,1
apl0001,1,Paktia Panthers,18.2,Sikandar Raza,Ali Khan,CS MacLeod,6,0,0,6,,,,,,18,2
apl0001,1,Paktia Panthers,18.3,Sikandar Raza,Ali Khan,CS MacLeod,1,0,0,1,,,,,,18,3
apl0001,1,Paktia Panthers,18.4,CS MacLeod,Ali Khan,Sikandar Raza,0,0,0,0,,,,,,18,4
apl0001,1,Paktia Panthers,18.5,CS MacLeod,Ali Khan,Sikandar Raza,1,0,0,1,,,,,,18,5
apl0001,1,Paktia Panthers,18.6,Sikandar Raza,Ali Khan,CS MacLeod,0,1,0,1,,,,noballs,1.0,18,6
apl0001,1,Paktia Panthers,18.7,Sikandar Raza,Ali Khan,CS MacLeod,4,0,0,4,,,,,,18,6
apl0001,1,Paktia Panthers,19.1,CS MacLeod,WD Parnell,Sikandar Raza,0,0,0,0,,,,,,19,1
apl0001,1,Paktia Panthers,19.2,CS MacLeod,WD Parnell,Sikandar Raza,4,0,0,4,,,,,,19,2
apl0001,1,Paktia Panthers,19.3,CS MacLeod,WD Parnell,Sikandar Raza,1,0,0,1,,,,,,19,3
apl0001,1,Paktia Panthers,19.4,Sikandar Raza,WD Parnell,CS MacLeod,0,0,0,0,,,,,,19,4
apl0001,1,Paktia Panthers,19.5,Sikandar Raza,WD Parnell,CS MacLeod,6,0,0,6,,,,,,19,5
apl0001,1,Paktia Panthers,19.6,Sikandar Raza,WD Parnell,CS MacLeod,6,0,0,6,,,,,,19,6
apl0001,2,Kabul Zwanan,0.1,L Ronchi,Sharafuddin Ashraf,Hazratullah,0,0,0,0,,,,,,0,1
apl0001,2,Kabul Zwanan,0.2,L Ronchi,Sharafuddin Ashraf,Hazratullah,4,0,0,4,,,,,,0,2
apl0001,2,Kabul Zwanan,0.3,L Ronchi,Sharafuddin Ashraf,Hazratullah,0,0,0,0,,,,,,0,3
apl0001,2,Kabul Zwanan,0.4,L Ronchi,Sharafuddin Ashraf,Hazratullah,4,0,0,4,,,,,,0,4
apl0001,2,Kabul Zwanan,0.5,L Ronchi,Sharafuddin Ashraf,Hazratullah,0,0,0,0,,,,,,0,5
apl0001,2,Kabul Zwanan,0.6,L Ronchi,Sharafuddin Ashraf,Hazratullah,6,0,1,6,,,,,,0,6
apl0001,2,Kabul Zwanan,1.1,Hazratullah,Yousuf Zazai,L Ronchi,0,0,0,0,,,,,,1,1
apl0001,2,Kabul Zwanan,1.2,Hazratullah,Yousuf Zazai,L Ronchi,1,0,0,1,,,,,,1,2
apl0001,2,Kabul Zwanan,1.3,L Ronchi,Yousuf Zazai,Hazratullah,1,0,0,1,,,,,,1,3
apl0001,2,Kabul Zwanan,1.4,Hazratullah,Yousuf Zazai,L Ronchi,0,0,0,0,,,,,,1,4
apl0001,2,Kabul Zwanan,1.5,Hazratullah,Yousuf Zazai,L Ronchi,4,0,0,4,,,,,,1,5
apl0001,2,Kabul Zwanan,1.6,Hazratullah,Yousuf Zazai,L Ronchi,0,0,0,0,,,,,,1,6
apl0001,2,Kabul Zwanan,2.1,L Ronchi,Sharafuddin Ashraf,Hazratullah,0,0,0,0,Mohammad Shahzad,stumped,L Ronchi,,,2,1
apl0001,2,Kabul Zwanan,2.2,Javed Ahmadi,Sharafuddin Ashraf,Hazratullah,0,0,0,0,,,,,,2,2
apl0001,2,Kabul Zwanan,2.3,Javed Ahmadi,Sharafuddin Ashraf,Hazratullah,0,0,0,0,,,,,,2,3
apl0001,2,Kabul Zwanan,2.4,Javed Ahmadi,Sharafuddin Ashraf,Hazratullah,0,0,0,0,,,,,,2,4
apl0001,2,Kabul Zwanan,2.5,Javed Ahmadi,Sharafuddin Ashraf,Hazratullah,6,0,0,6,,,,,,2,5
