key,team
cpl0181,Guyana Amazon Warriors
cpl0182,Guyana Amazon Warriors
cpl0182,Barbados Tridents
cpl0183,St Lucia Zouks
cpl0183,Trinbago Knight Riders
cpl0184,Jamaica Tallawahs
cpl0184,St Kitts and Nevis Patriots
cpl0185,Barbados Tridents
cpl0185,St Kitts and Nevis Patriots
cpl0186,Jamaica Tallawahs
cpl0186,St Lucia Zouks
cpl0187,Trinbago Knight Riders
cpl0187,Jamaica Tallawahs
cpl0188,St Kitts and Nevis Patriots
cpl0188,Guyana Amazon Warriors
cpl0189,St Lucia Zouks
cpl0189,St Kitts and Nevis Patriots
cpl0190,Barbados Tridents
cpl0190,Jamaica Tallawahs
cpl0191,Trinbago Knight Riders
cpl0191,St Kitts and Nevis Patriots
cpl0192,Guyana Amazon Warriors
cpl0192,Jamaica Tallawahs
cpl0193,St Kitts and Nevis Patriots
cpl0193,Jamaica Tallawahs
cpl0194,Barbados Tridents
cpl0194,St Lucia Zouks
cpl0195,St Lucia Zouks
cpl0195,Trinbago Knight Riders
cpl0196,Barbados Tridents
cpl0196,Guyana Amazon Warriors
cpl0197,Jamaica Tallawahs
cpl0197,Barbados Tridents
cpl0198,St Lucia Zouks
cpl0198,St Kitts and Nevis Patriots
cpl0199,St Lucia Zouks
cpl0199,Guyana Amazon Warriors
cpl0200,Barbados Tridents
cpl0200,Trinbago Knight Riders
cpl0201,Jamaica Tallawahs
cpl0201,St Lucia Zouks
cpl0202,St Kitts and Nevis Patriots
cpl0202,Barbados Tridents
cpl0203,Barbados Tridents
cpl0203,St Lucia Zouks
cpl0204,Guyana Amazon Warriors
cpl0204,Trinbago Knight Riders
cpl0205,Trinbago Knight Riders
cpl0205,Barbados Tridents
cpl0206,Guyana Amazon Warriors
cpl0206,Jamaica Tallawahs
cpl0207,Trinbago Knight Riders
cpl0207,Guyana Amazon Warriors
cpl0208,St Kitts and Nevis Patriots
cpl0208,Trinbago Knight Riders
cpl0209,Guyana Amazon Warriors
cpl0209,Barbados Tridents
cpl0210,Barbados Tridents
cpl0210,Trinbago Knight Riders
cpl0211,Barbados Tridents
cpl0211,Guyana Amazon Warriors
cpl0212,Barbados Tridents
cpl0212,St Kitts and Nevis Patriots
cpl0213,Guyana Amazon Warriors
cpl0213,Trinbago Knight Riders
cpl0214,St Kitts and Nevis Patriots
cpl0214,Guyana Amazon Warriors
cpl0215,St Lucia Zouks
cpl0215,Jamaica Tallawahs
cpl0216,Jamaica Tallawahs
cpl0216,Trinbago Knight Riders
cpl0217,Barbados Tridents
cpl0217,St Lucia Zouks
cpl0218,Guyana Amazon Warriors
cpl0218,Jamaica Tallawahs
cpl0219,St Lucia Zouks
cpl0219,St Kitts and Nevis Patriots
cpl0220,St Lucia Zouks
cpl0220,Guyana Amazon Warriors
cpl0221,Trinbago Knight Riders
cpl0221,Barbados Tridents
cpl0222,Guyana Amazon Warriors
cpl0222,Jamaica Tallawahs
cpl0223,Barbados Tridents
cpl0223,St Kitts and Nevis Patriots
cpl0224,Barbados Tridents
