key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
cpl0319,,runs,34.0,,,,,Guyana Amazon Warriors
cpl0320,,runs,133.0,,,,,Trinbago Knight Riders
cpl0321,,wickets,6.0,,,,,Barbados Royals
cpl0322,,runs,90.0,,,,,St Lucia Kings
cpl0323,,runs,98.0,,,,,Guyana Amazon Warriors
cpl0324,,wickets,8.0,,,,,Barbados Royals
cpl0325,,runs,2.0,,,,,Trinbago Knight Riders
cpl0326,,wickets,6.0,,,,,Guyana Amazon Warriors
cpl0327,,runs,42.0,,,,,Trinbago Knight Riders
cpl0328,,wickets,7.0,,,,,Trinbago Knight Riders
cpl0329,,wickets,4.0,,,,,St Kitts and Nevis Patriots
cpl0330,,wickets,7.0,,,,,Trinbago Knight Riders
cpl0331,,runs,3.0,,,,,Guyana Amazon Warriors
cpl0332,,wickets,7.0,,,,,Guyana Amazon Warriors
cpl0333,,wickets,7.0,,,,,St Lucia Kings
cpl0334,,wickets,6.0,,,,,Guyana Amazon Warriors
cpl0335,,runs,59.0,,,,,Jamaica Tallawahs
cpl0336,,runs,88.0,,,,,Guyana Amazon Warriors
cpl0337,,runs,122.0,,,,,Jamaica Tallawahs
cpl0338,,wickets,5.0,,,,,Jamaica Tallawahs
cpl0339,,wickets,7.0,,,,,Trinbago Knight Riders
cpl0340,,runs,81,,,,,Guyana Amazon Warriors
