key_id,by_type,by_margin,bowl_out,eliminator,method,result,winner
t20s0379,wickets,6.0,,,,,Pakistan
t20s0380,wickets,3.0,,,,,Pakistan
t20s0381,runs,24.0,,,,,Sri Lanka
t20s0382,runs,81.0,,,,,New Zealand
t20s0383,wickets,4.0,,,,,New Zealand
t20s0384,wickets,6.0,,,,,Ireland
t20s0385,wickets,6.0,,,,,Pakistan
t20s0386,runs,46.0,,,,,South Africa
t20s0387,wickets,7.0,,,,,Pakistan
t20s0388,runs,13.0,,,,,Australia
t20s0389,wickets,7.0,,,,,Australia
t20s0390,wickets,8.0,,,,,Australia
t20s0391,wickets,7.0,,,,,Australia
t20s0392,runs,84.0,,,,,Australia
t20s0393,runs,2.0,,,,,Sri Lanka
t20s0394,wickets,3.0,,,,,Sri Lanka
t20s0395,wickets,6.0,,,,,Ireland
t20s0396,runs,11.0,,,,,West Indies
t20s0397,runs,27.0,,,,,West Indies
t20s0398,wickets,5.0,,,,,West Indies
t20s0399,wickets,5.0,,,,,Australia
t20s0400,runs,5.0,,,,,England
t20s0401,wickets,6.0,,,,,Australia
t20s0402,runs,80.0,,,,,Nepal
t20s0403,wickets,9.0,,,,,Bangladesh
t20s0404,wickets,6.0,,,,,Netherlands
t20s0405,wickets,3.0,,,,,Ireland
t20s0406,wickets,8.0,,,,,Bangladesh
t20s0407,wickets,7.0,,,,,Afghanistan
t20s0408,runs,21.0,,,D/L,,Ireland
t20s0409,wickets,5.0,,,,,Zimbabwe
t20s0410,wickets,2.0,,,,,Hong Kong
t20s0411,runs,9.0,,,,,Nepal
t20s0412,wickets,7.0,,,,,India
t20s0413,wickets,6.0,,,,,Netherlands
t20s0414,wickets,5.0,,,,,Zimbabwe
t20s0415,runs,9.0,,,D/L,,New Zealand
t20s0416,runs,5.0,,,,,Sri Lanka
t20s0417,runs,7.0,,,,,New Zealand
t20s0418,wickets,7.0,,,,,India
t20s0419,runs,16.0,,,,,Pakistan
t20s0420,runs,22.0,,,,,Sri Lanka
t20s0421,runs,9.0,,,,,West Indies
t20s0422,wickets,9.0,,,,,Sri Lanka
t20s0423,runs,2.0,,,,,South Africa
t20s0424,runs,42.0,,,,,New Zealand
t20s0425,runs,73.0,,,,,West Indies
t20s0426,wickets,5.0,,,,,England
t20s0427,runs,36.0,,,,,West Indies
t20s0428,runs,59.0,,,,,New Zealand
t20s0429,wickets,6.0,,,,,England
t20s0430,runs,6.0,,,,,South Africa
t20s0431,wickets,8.0,,,,,West Indies
t20s0432,wickets,8.0,,,,,India
t20s0433,wickets,6.0,,,,,West Indies
t20s0434,runs,94.0,,,,,Australia
t20s0435,runs,86.0,,,,,South Africa
t20s0436,runs,3.0,,,,,South Africa
t20s0437,wickets,6.0,,,,,New Zealand
t20s0438,wickets,7.0,,,,,England
t20s0439,runs,79.0,,,,,India
t20s0440,runs,73.0,,,,,India
t20s0441,runs,50.0,,,,,Pakistan
t20s0442,wickets,5.0,,,,,South Africa
t20s0443,runs,14.0,,,,,Pakistan
t20s0444,runs,59.0,,,,,Sri Lanka
t20s0445,runs,45.0,,,,,Netherlands
t20s0446,wickets,9.0,,,,,India
t20s0447,runs,3.0,,,,,Bangladesh
t20s0448,runs,84.0,,,,,West Indies
t20s0449,wickets,7.0,,,,,Australia
t20s0450,runs,6.0,,,,,India
t20s0451,wickets,6.0,,,,,New Zealand
t20s0452,runs,17.0,,,,,Bangladesh
t20s0453,runs,14.0,,,,,Pakistan
t20s0454,runs,8.0,,,,,Australia
t20s0455,runs,27.0,,,D/L,,Sri Lanka
t20s0456,wickets,9.0,,,,,England
t20s0457,wickets,6.0,,,,,India
t20s0458,wickets,6.0,,,,,Australia
t20s0459,wickets,6.0,,,,,Sri Lanka
t20s0460,runs,9.0,,,,,Sri Lanka
t20s0461,runs,12.0,,,D/L,,New Zealand
t20s0462,runs,39.0,,,,,West Indies
t20s0463,,,,,,no result,
t20s0464,wickets,9.0,,,,,Australia
t20s0465,runs,63.0,,,,,Australia
t20s0466,wickets,9.0,,,,,England
t20s0467,wickets,8.0,,,,,Australia
t20s0468,runs,42.0,,,,,England
t20s0469,runs,20.0,,,,,Australia
t20s0470,runs,8.0,,,,,England
t20s0471,runs,3.0,,,,,England
t20s0472,wickets,6.0,,,,,Australia
t20s0473,runs,7.0,,,,,Sri Lanka
t20s0474,wickets,7.0,,,,,South Africa
t20s0475,wickets,9.0,,,,,South Africa
t20s0476,wickets,4.0,,,,,Australia
t20s0477,wickets,7.0,,,,,South Africa
t20s0478,wickets,4.0,,,,,Australia
t20s0479,wickets,7.0,,,,,Australia
t20s0480,wickets,2.0,,,,,Australia
t20s0481,wickets,2.0,,,,,Hong Kong
t20s0482,wickets,7.0,,,,,Pakistan
t20s0483,runs,17.0,,,,,New Zealand
t20s0484,wickets,4.0,,,,,West Indies
t20s0485,wickets,4.0,,,,,West Indies
t20s0486,runs,69.0,,,,,South Africa
t20s0487,runs,55.0,,,,,Pakistan
t20s0488,wickets,5.0,,,,,Sri Lanka
t20s0489,wickets,5.0,,,,,Pakistan
