key,player_of_match
t20s0617,Mohammad Nabi
t20s0618,Tamim Iqbal
t20s0619,PA van Meekeren
t20s0620,SW Bates
t20s0621,H Kaur
t20s0622,MJ Santner
t20s0623,Anam Amin
t20s0624,Shahid Afridi
t20s0625,CH Gayle
t20s0626,CM Edwards
t20s0627,TM Dilshan
t20s0628,MM Lanning
t20s0629,SW Bates
t20s0630,JE Root
t20s0631,MJ McClenaghan
t20s0632,Anam Amin
t20s0633,V Kohli
t20s0634,CJ Metcalfe
t20s0635,SR Taylor
t20s0636,ADS Fletcher
t20s0637,CH Morris
t20s0638,LM Kasperek
t20s0639,A Zampa
t20s0640,HC Knight
t20s0641,MJ Guptill
t20s0642,S Luus
t20s0643,R Ashwin
t20s0644,MM Ali
t20s0645,Sidra Ameen
t20s0646,EJ Villani
t20s0647,TT Beaumont
t20s0648,MN Samuels
t20s0649,JP Faulkner
t20s0650,SFM Devine
t20s0651,ML Schutt
t20s0652,JC Buttler
t20s0653,KS Williamson
t20s0654,CM Edwards
t20s0655,DJS Dottin
t20s0656,Najibullah Zadran
t20s0657,V Kohli
t20s0658,AC Jayangani
t20s0659,AM Phangiso
t20s0660,MM Lanning
t20s0661,JJ Roy
t20s0662,B Cooper
t20s0663,LMP Simmons
t20s0664,HK Matthews
t20s0665,MN Samuels
t20s0666,E Chigumbura
t20s0667,BB Sran
t20s0668,KM Jadhav
t20s0669,TT Beaumont
t20s0670,FC Wilson
t20s0671,JC Buttler
t20s0672,L Winfield
t20s0673,E Lewis
t20s0677,GJ Maxwell
t20s0678,Wahab Riaz
t20s0679,GJ Maxwell
t20s0680,Imad Wasim
t20s0681,Sarfraz Ahmed
t20s0682,Imad Wasim
t20s0683,KM Beams
t20s0685,M Raj
t20s0686,Karim Janat
t20s0687,Najibullah Zadran
t20s0688,Rashid Khan
t20s0689,KS Williamson
t20s0690,C Munro
t20s0691,CJ Anderson
t20s0692,Mohammad Nabi
t20s0693,CS MacLeod
t20s0694,MJG Rippon
t20s0695,Dawlat Zadran
t20s0696,Bilal Khan
t20s0697,JH Davey
t20s0698,Anshuman Rath
t20s0699,WB Rankin
t20s0700,MH Cross
t20s0701,L Ngidi
t20s0702,Mohammad Nabi
t20s0703,GC Wilson
t20s0704,Mohammad Shahzad
t20s0705,AD Mathews
t20s0706,N Dickwella
t20s0707,MM Ali
t20s0708,JJ Bumrah
t20s0709,YS Chahal
t20s0710,EJ Villani
t20s0711,Imran Tahir
t20s0712,DAS Gunaratne
t20s0713,AM Peterson
t20s0714,DAS Gunaratne
t20s0715,SW Bates
t20s0716,A Zampa
t20s0717,Samiullah Shenwari
t20s0718,Najeeb Tarakai
t20s0718,Rashid Khan
t20s0719,Mohammad Nabi
t20s0720,Shadab Khan
t20s0721,Shadab Khan
t20s0722,E Lewis
t20s0723,Hasan Ali
t20s0724,MDKJ Perera
t20s0725,Shakib Al Hasan
t20s0729,SP Narine
t20s0730,KOK Williams
t20s0731,MN Samuels
t20s0732,JM Bairstow
t20s0733,CH Morris
t20s0734,DJ Malan
t20s0735,E Lewis
t20s0736,V Kohli
t20s0737,Babar Azam
t20s0738,NLTC Perera
t20s0739,Ahmed Shehzad
t20s0740,SP Narine
t20s0741,Kuldeep Yadav
t20s0742,JP Behrendorff
t20s0743,ASS Fletcher
t20s0744,Usman Shinwari
t20s0745,AB de Villiers
t20s0746,Shadab Khan
t20s0747,Shoaib Malik
t20s0748,DA Miller
t20s0749,S Dhawan
t20s0750,C Munro
t20s0751,JJ Bumrah
t20s0752,SFM Devine
t20s0753,SW Bates
t20s0754,SFM Devine
t20s0755,BL Mooney
t20s0756,KH Brunt
t20s0757,DN Wyatt
t20s0758,YS Chahal
t20s0759,RG Sharma
t20s0760,JD Unadkat
t20s0761,GD Phillips
t20s0763,C Munro
t20s0764,C Munro
t20s0765,Fakhar Zaman
t20s0766,Shadab Khan
t20s0767,B Stanlake
t20s0768,Mohammad Nabi
t20s0769,Mohammad Nabi
t20s0770,GJ Maxwell
t20s0771,KW Richardson
t20s0772,M Raj
t20s0773,KS Williamson
t20s0774,BKG Mendis
t20s0776,DJM Short
t20s0777,BKG Mendis
t20s0778,S Ismail
t20s0779,B Kumar
t20s0780,EJG Morgan
t20s0782,H Klaasen
t20s0783,AC Agar
t20s0784,M Raj
t20s0785,SK Raina
t20s0786,MDKJ Perera
t20s0787,V Shankar
t20s0788,Mushfiqur Rahim
t20s0789,SN Thakur
t20s0790,KJ Martin
t20s0791,RG Sharma
t20s0792,AE Satterthwaite
t20s0793,Mahmudullah
t20s0794,KD Karthik
t20s0795,HK Matthews
t20s0796,A Gardner
t20s0797,NR Sciver
t20s0798,KJ Martin
t20s0799,DN Wyatt
t20s0800,ML Schutt
t20s0801,Javeria Khan
t20s0802,EA Perry
t20s0803,AA Patil
t20s0804,HASD Siriwardene
t20s0805,MM Lanning
t20s0806,Hussain Talat
t20s0807,Babar Azam
t20s0808,Fakhar Zaman
t20s0809,D van Niekerk
t20s0810,A Khaka
t20s0811,E Lewis
t20s0813,M Raj
t20s0814,Rashid Khan
t20s0815,NND de Silva
t20s0816,H Kaur
t20s0817,Fahima Khatun
t20s0818,Rashid Khan
t20s0819,Rumana Ahmed
t20s0820,W Liengprasert
t20s0821,Nida Dar
t20s0823,AA Patil
t20s0824,Nida Dar
t20s0825,Salma Khatun
t20s0826,Mushfiqur Rahim
t20s0827,Shamima Sultana
t20s0828,W Liengprasert
t20s0829,E Bisht
t20s0830,Rumana Ahmed
t20s0832,Sarfraz Ahmed
t20s0834,Usman Shinwari
t20s0839,TT Beaumont
t20s0841,S Ecclestone
t20s0843,Kuldeep Yadav
t20s0844,AU Rashid
t20s0846,A Shrubsole
t20s0847,SFM Devine
t20s0849,KL Rahul
t20s0851,Asif Ali
t20s0852,KH Brunt
t20s0853,B Stanlake
t20s0854,AJ Finch
t20s0855,Kuldeep Yadav
t20s0856,SF Mire
t20s0857,Fakhar Zaman
t20s0858,AJ Tye
t20s0859,AD Hales
t20s0860,Shamima Sultana
t20s0861,Nisha Ali
t20s0862,RV Scholes
t20s0863,CMA Shillington
t20s0864,B Tau
t20s0865,Fahima Khatun
t20s0866,CMA Shillington
t20s0867,Fakhar Zaman
t20s0868,RG Sharma
t20s0869,M Tom
t20s0870,Fahima Khatun
t20s0871,CJ Metcalfe
t20s0872,KE Bryce
t20s0873,C Sutthiruang
t20s0874,Rumana Ahmed
t20s0875,G Candiru
t20s0876,LK O'Reilly
t20s0877,Panna Ghosh
t20s0878,N Boochatham
t20s0879,KE Bryce
t20s0880,SL Kalis
t20s0882,AD Russell
t20s0883,Tamim Iqbal
t20s0884,Liton Das
t20s0885,DM de Silva
t20s0887,B Mpedi
t20s0905,A Mohammed
t20s0906,RL Haynes
t20s0907,ML Schutt
t20s0908,L Wolvaardt
t20s0909,EA Perry
t20s0910,L Lee
t20s0911,Imran Tahir
t20s0912,D Paterson
t20s0913,DJM Short
t20s0914,Imad Wasim
t20s0915,S Molineux
t20s0916,Imad Wasim
t20s0917,G Wareham
t20s0918,JL Denly
t20s0919,Shadab Khan
t20s0920,AJ Healy
t20s0921,Mohammad Hafeez
t20s0922,Shaheen Shah Afridi
t20s0923,Kuldeep Yadav
t20s0924,Babar Azam
t20s0925,RG Sharma
t20s0926,DJS Dottin
t20s0927,AJ Healy
t20s0928,H Kaur
t20s0929,S Dhawan
t20s0930,AJ Healy
t20s0931,M Raj
t20s0932,S Ismail
t20s0933,KL Gordon
t20s0934,AJ Healy
t20s0935,Javeria Khan
t20s0936,SR Taylor
t20s0937,HASD Siriwardene
t20s0938,JM Watkin
t20s0939,M Raj
t20s0940,HK Matthews
t20s0941,NR Sciver
t20s0942,SFM Devine
t20s0943,S Mandhana
t20s0944,T Shamsi
t20s0945,M Kapp
t20s0946,DJS Dottin
t20s0947,A Zampa
t20s0948,AE Jones
t20s0949,AJ Healy
t20s0951,A Gardner
t20s0952,KH Pandya
t20s0953,SS Cottrell
t20s0954,Shakib Al Hasan
t20s0955,E Lewis
t20s0956,DAJ Bracewell
t20s0957,DJS Dottin
t20s0958,Shaiman Anwar
t20s0959,SA Campbelle
t20s0960,DS Airee
t20s0961,D van Niekerk
t20s0962,DA Miller
t20s0963,Nida Dar
t20s0964,Karan KC
t20s0965,DA Miller
t20s0966,S Luus
t20s0967,LMM Tahuhu
t20s0968,TL Seifert
t20s0969,Shadab Khan
t20s0970,SW Bates
t20s0971,KH Pandya
t20s0972,SFM Devine
t20s0973,C Munro
t20s0974,PR Stirling
t20s0975,TP Visee
t20s0976,KJ Coetzer
t20s0977,RE van der Merwe
t20s0978,A Neill
t20s0979,A Balbirnie
t20s0980,S Venkataraman
t20s0981,Mas Elysa
t20s0982,C Sutthiruang
t20s0983,CR Seneviratna
t20s0984,YS To
t20s0985,SR Magar
t20s0986,Zhang Chan
t20s0987,C Sutthiruang
t20s0988,CR Seneviratna
t20s0989,Mohammad Nabi
t20s0990,F Song
t20s0991,N Chaiwai
t20s0992,Nary Thapa
t20s0993,Hazratullah
t20s0994,Nary Thapa
t20s0995,S Tippoch
t20s0996,S Venkataraman
t20s0997,NM Coulter-Nile
t20s0998,Mohammad Nabi
t20s0999,M Yousaf
t20s1000,SR Magar
t20s1001,N Chaiwai
t20s1003,RC Belbashi
t20s1004,GJ Maxwell
t20s1005,TT Beaumont
t20s1006,JM Bairstow
t20s1007,DN Wyatt
t20s1008,SW Billings
t20s1009,KL Cross
t20s1010,DJ Willey
t20s1012,Shaiman Anwar
t20s1013,DA Miller
t20s1014,TP Ura
t20s1015,A Vala
t20s1016,HE van der Dussen
t20s1019,L Siaka
t20s1020,DC Smith
t20s1022,D Pretorius
t20s1030,D Busingye
t20s1031,SM Mayers
t20s1032,EJG Morgan
t20s1033,NM Ambo
t20s1034,Y Anggraeni
t20s1035,R Oa
t20s1036,SM Mayers
t20s1037,I van Zyl
t20s1038,B Etim
t20s1039,R Oa
t20s1040,M Short
t20s1041,C Aweko
t20s1042,H Ishimwe
t20s1043,K Arua
t20s1044,N Tokizawa
t20s1045,RSM Lili'i
t20s1046,M Mupachikwa
t20s1047,K Arua
t20s1048,N Navaika
t20s1049,N Sitompul
t20s1050,FO Kibasu
t20s1051,N Mutasa
t20s1052,CS Mugeri
t20s1053,Nida Dar
t20s1054,U Iftikhar
t20s1055,L Lee
t20s1056,S Sriharsha
t20s1057,Iram Javed
t20s1058,A Otwani
t20s1059,SJ Baard
t20s1060,I Danladi
t20s1061,K Birkenstock
t20s1062,RR Patel
t20s1063,RR Patel
t20s1064,C Viljoen
t20s1065,VD Adewoye
t20s1066,L Lee
t20s1067,Riazat Ali Shah
t20s1068,L Lee
t20s1074,BDH Stevens
t20s1077,SA Ahmad
t20s1078,M Pascal
t20s1079,J Nyirankundineza
t20s1081,R Musamali
t20s1085,Zishan Shah
t20s1086,ND Laegsgaard
t20s1087,B Ward
t20s1088,CAJ Meschede
t20s1089,DN Wyatt
t20s1091,M Syahadat Ramli
t20s1094,MNR Cooray
t20s1097,Anwar Rahman
t20s1100,N Pathan
t20s1102,P Khadka
t20s1103,B Bhandari
t20s1105,Syed Aziz
t20s1106,Janak Prakash
t20s1107,Inam-ul-Haq
t20s1108,G Malla
t20s1109,S Chandramohan
t20s1110,Adnan Idrees
t20s1111,MM Lanning
t20s1112,Nouman Sarwar
t20s1113,P Khadka
t20s1114,TH David
t20s1115,EA Perry
t20s1116,KH Brunt
t20s1117,NA Saini
t20s1118,KH Pandya
t20s1120,DL Chahar
t20s1132,Ravinderpal Singh
t20s1133,DMW Rawlins
t20s1134,CG Williams
t20s1137,JP Kotze
t20s1138,NS Dhaliwal
t20s1140,SJ Baard
t20s1141,DAP Darrell
t20s1142,NS Dhaliwal
t20s1143,MG Erasmus
t20s1144,Steven Ryan Taylor
t20s1145,AC Douglas
t20s1146,Ravinderpal Singh
t20s1147,Ainna Hamizah Hashim
t20s1148,WA Duraisingam
