key,toss_winner,toss_decision,decision,winner
ntb0401,,,field,Durham
ntb0402,,,field,Kent
ntb0403,,,field,Glamorgan
ntb0404,,,field,Essex
ntb0405,,,field,Derbyshire
ntb0406,,,bat,Surrey
ntb0407,,,field,Warwickshire
ntb0408,,,field,Leicestershire
ntb0409,,,field,Nottinghamshire
ntb0410,,,field,Derbyshire
ntb0411,,,field,Sussex
ntb0412,,,field,Somerset
ntb0413,,,bat,Lancashire
ntb0414,,,field,Worcestershire
ntb0415,,,bat,Durham
ntb0416,,,field,Gloucestershire
ntb0417,,,field,Nottinghamshire
ntb0418,,,bat,Somerset
ntb0419,,,bat,Yorkshire
ntb0420,,,field,Northamptonshire
ntb0421,,,field,Essex
ntb0422,,,bat,Somerset
ntb0423,,,field,Hampshire
ntb0424,,,bat,Leicestershire
ntb0425,,,bat,Middlesex
ntb0426,,,field,Warwickshire
ntb0427,,,field,Sussex
ntb0428,,,field,Kent
ntb0429,,,field,Derbyshire
ntb0430,,,field,Worcestershire
ntb0431,,,field,Nottinghamshire
ntb0432,,,bat,Kent
ntb0433,,,field,Northamptonshire
ntb0434,,,field,Leicestershire
ntb0435,,,bat,Middlesex
ntb0436,,,bat,Yorkshire
ntb0437,,,bat,Surrey
ntb0438,,,field,Lancashire
ntb0439,,,field,Glamorgan
ntb0440,,,field,Essex
ntb0441,,,field,Warwickshire
ntb0442,,,bat,Glamorgan
ntb0443,,,bat,Kent
ntb0444,,,field,Gloucestershire
ntb0445,,,bat,Durham
ntb0446,,,field,Derbyshire
ntb0447,,,field,Leicestershire
ntb0448,,,field,Worcestershire
ntb0449,,,field,Nottinghamshire
ntb0450,,,bat,Surrey
ntb0451,,,field,Sussex
ntb0452,,,bat,Glamorgan
ntb0453,,,bat,Yorkshire
ntb0454,,,field,Sussex
ntb0455,,,field,Northamptonshire
ntb0456,,,field,Middlesex
ntb0457,,,bat,Durham
ntb0458,,,field,Nottinghamshire
ntb0459,,,field,Hampshire
ntb0460,,,field,Leicestershire
ntb0461,,,field,Kent
ntb0462,,,field,Somerset
ntb0463,,,bat,Durham
ntb0464,,,field,Essex
ntb0465,,,bat,Surrey
ntb0466,,,field,Worcestershire
ntb0467,,,bat,Durham
ntb0468,,,field,Gloucestershire
ntb0469,,,field,Lancashire
ntb0470,,,bat,Yorkshire
ntb0471,,,bat,Gloucestershire
ntb0472,,,field,Leicestershire
ntb0473,,,field,Essex
ntb0474,,,field,Nottinghamshire
ntb0475,,,field,Northamptonshire
ntb0476,,,field,Warwickshire
ntb0477,,,bat,Somerset
ntb0478,,,field,Worcestershire
ntb0479,,,field,Glamorgan
ntb0480,,,field,Essex
ntb0481,,,bat,Surrey
ntb0482,,,field,Derbyshire
ntb0483,,,bat,Leicestershire
ntb0484,,,field,Nottinghamshire
ntb0485,,,field,Warwickshire
ntb0486,,,field,Warwickshire
ntb0487,,,field,Hampshire
ntb0488,,,field,Glamorgan
ntb0489,,,field,Birmingham Bears
ntb0490,,,field,Leicestershire
ntb0491,,,bat,Sussex
ntb0492,,,bat,Surrey
ntb0493,,,bat,Lancashire
ntb0494,,,field,Durham
ntb0495,,,field,Leicestershire
ntb0496,,,field,Somerset
ntb0497,,,field,Lancashire
ntb0498,,,field,Northamptonshire
ntb0499,,,field,Birmingham Bears
ntb0500,,,bat,Kent
ntb0501,,,bat,Middlesex
ntb0502,,,field,Hampshire
ntb0503,,,field,Leicestershire
ntb0504,,,field,Kent
ntb0505,,,field,Worcestershire
ntb0506,,,field,Gloucestershire
ntb0507,,,bat,Glamorgan
ntb0508,,,bat,Northamptonshire
ntb0509,,,field,Birmingham Bears
ntb0510,,,field,Kent
ntb0511,,,bat,Surrey
ntb0512,,,field,Sussex
ntb0513,,,field,Gloucestershire
ntb0514,,,field,Derbyshire
ntb0515,,,field,Sussex
ntb0516,,,field,Northamptonshire
ntb0517,,,bat,Yorkshire
ntb0518,,,field,Birmingham Bears
ntb0519,,,field,Glamorgan
ntb0520,,,field,Hampshire
ntb0521,,,bat,Lancashire
ntb0522,,,field,Worcestershire
ntb0523,,,bat,Durham
ntb0524,,,field,Nottinghamshire
ntb0525,,,field,Lancashire
ntb0526,,,field,Northamptonshire
ntb0527,,,bat,Middlesex
ntb0528,,,field,Nottinghamshire
ntb0529,,,field,Glamorgan
ntb0530,,,field,Durham
ntb0531,,,field,Yorkshire
ntb0532,,,field,Birmingham Bears
ntb0533,,,field,Gloucestershire
ntb0534,,,bat,Surrey
ntb0535,,,bat,Hampshire
ntb0536,,,bat,Hampshire
ntb0537,,,field,Hampshire
ntb0538,,,field,Lancashire
ntb0539,,,bat,Leicestershire
ntb0540,,,field,Worcestershire
ntb0541,,,field,Surrey
ntb0542,,,bat,Yorkshire
ntb0543,,,field,Glamorgan
ntb0544,,,field,Sussex
ntb0545,,,field,Durham
ntb0546,,,bat,Yorkshire
ntb0547,,,field,Middlesex
ntb0548,,,field,Yorkshire
ntb0549,,,bat,Surrey
ntb0550,,,bat,Yorkshire
ntb0551,,,field,Hampshire
ntb0552,,,bat,Sussex
ntb0553,,,bat,Nottinghamshire
ntb0554,,,bat,Leicestershire
ntb0555,,,bat,Sussex
ntb0556,,,field,Northamptonshire
ntb0557,,,bat,Kent
ntb0558,,,bat,Essex
ntb0559,,,bat,Derbyshire
ntb0560,,,field,Worcestershire
ntb0561,,,bat,Middlesex
ntb0562,,,bat,Lancashire
ntb0563,,,bat,Northamptonshire
ntb0564,,,bat,Kent
ntb0565,,,bat,Worcestershire
ntb0566,,,field,Somerset
ntb0567,,,field,Glamorgan
ntb0568,,,bat,Birmingham Bears
ntb0569,,,field,Surrey
ntb0570,,,bat,Kent
ntb0571,,,field,Essex
ntb0572,,,bat,Durham
ntb0573,,,bat,Derbyshire
ntb0574,,,bat,Durham
ntb0575,,,field,Somerset
ntb0576,,,field,Middlesex
ntb0577,,,bat,Worcestershire
ntb0578,,,field,Surrey
ntb0579,,,bat,Yorkshire
ntb0580,,,field,Birmingham Bears
ntb0581,,,bat,Nottinghamshire
ntb0582,,,field,Worcestershire
ntb0583,,,field,Somerset
ntb0584,,,field,Glamorgan
ntb0585,,,field,Northamptonshire
ntb0586,,,bat,Lancashire
