key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
ntb0262,,wickets,7.0,,,,,Essex
ntb0263,,wickets,7.0,,,,,Worcestershire
ntb0264,,runs,9.0,,,,,Hampshire
ntb0265,,wickets,4.0,,,,,Gloucestershire
ntb0266,,runs,26.0,,,,,Lancashire
ntb0267,,wickets,7.0,,,,,Northamptonshire
ntb0268,,runs,23.0,,,,,Surrey
ntb0269,,wickets,4.0,,,,,Derbyshire
ntb0270,,wickets,5.0,,,,,Glamorgan
ntb0271,,wickets,7.0,,,,,Gloucestershire
ntb0272,,wickets,7.0,,,,,Somerset
ntb0273,,wickets,9.0,,,,,Warwickshire
ntb0274,,wickets,2.0,,,,,Nottinghamshire
ntb0275,,wickets,6.0,,,,,Leicestershire
ntb0276,,runs,8.0,,,,,Kent
ntb0277,,wickets,6.0,,,,,Somerset
ntb0278,,wickets,3.0,,,,,Worcestershire
ntb0279,,runs,17.0,,,,,Middlesex
ntb0280,,wickets,9.0,,,D/L,,Lancashire
ntb0281,,wickets,4.0,,,,,Sussex
ntb0282,,wickets,6.0,,,,,Glamorgan
ntb0283,,wickets,8.0,,,,,Gloucestershire
ntb0284,,wickets,4.0,,,,,Gloucestershire
ntb0285,,runs,29.0,,,,,Surrey
ntb0286,,runs,55.0,,,D/L,,Glamorgan
ntb0287,,runs,26.0,,,,,Northamptonshire
ntb0288,,wickets,4.0,,,,,Warwickshire
ntb0289,,wickets,4.0,,,,,Nottinghamshire
ntb0290,,runs,18.0,,,D/L,,Warwickshire
ntb0291,,wickets,6.0,,,,,Somerset
ntb0292,,runs,1.0,,,D/L,,Yorkshire
ntb0293,,runs,4.0,,,,,Middlesex
ntb0294,,runs,6.0,,,D/L,,Durham
ntb0295,,runs,96.0,,,,,Lancashire
ntb0296,,wickets,9.0,,,,,Glamorgan
ntb0297,,wickets,7.0,,,,,Nottinghamshire
ntb0298,,runs,40.0,,,,,Middlesex
ntb0299,,wickets,5.0,,,,,Essex
ntb0300,,wickets,8.0,,,,,Warwickshire
ntb0301,,wickets,8.0,,,,,Essex
ntb0302,,wickets,6.0,,,,,Northamptonshire
ntb0303,,runs,11.0,,,,,Gloucestershire
ntb0304,,runs,10.0,,,,,Kent
ntb0305,,,,,,,no result,
ntb0306,,wickets,8.0,,,D/L,,Northamptonshire
ntb0307,,wickets,7.0,,,,,Sussex
ntb0308,,runs,5.0,,,,,Yorkshire
ntb0309,,runs,50.0,,,,,Essex
ntb0310,,runs,80.0,,,,,Surrey
ntb0311,,wickets,7.0,,,,,Gloucestershire
ntb0312,,wickets,7.0,,,,,Derbyshire
ntb0313,,wickets,6.0,,,,,Gloucestershire
ntb0314,,runs,46.0,,,,,Glamorgan
ntb0315,,runs,12.0,,,,,Kent
ntb0316,,runs,15.0,,,,,Surrey
ntb0317,,wickets,6.0,,,,,Nottinghamshire
ntb0318,,wickets,7.0,,,,,Lancashire
ntb0319,,runs,3.0,,,,,Kent
ntb0320,,wickets,9.0,,,,,Glamorgan
ntb0321,,runs,3.0,,,,,Essex
