key,team
bpl0205,Rajshahi Kings
bpl0205,Chittagong Vikings
bpl0206,Sylhet Sixers
bpl0206,Khulna Titans
bpl0207,Dhaka Dynamites
bpl0207,Rangpur Riders
bpl0208,Comilla Victorians
bpl0208,Khulna Titans
bpl0209,Rajshahi Kings
bpl0209,Rangpur Riders
bpl0210,Chittagong Vikings
bpl0210,Comilla Victorians
bpl0211,Sylhet Sixers
bpl0211,Rajshahi Kings
bpl0212,Chittagong Vikings
bpl0212,Dhaka Dynamites
bpl0213,Sylhet Sixers
bpl0213,Chittagong Vikings
bpl0214,Comilla Victorians
bpl0214,Dhaka Dynamites
bpl0215,Khulna Titans
bpl0215,Dhaka Dynamites
bpl0216,Comilla Victorians
bpl0216,Rangpur Riders
bpl0217,Rangpur Riders
bpl0217,Comilla Victorians
bpl0218,Chittagong Vikings
bpl0218,Dhaka Dynamites
bpl0219,Rangpur Riders
bpl0219,Dhaka Dynamites
bpl0220,Comilla Victorians
bpl0220,Dhaka Dynamites
bpl0221,Cumilla Warriors
bpl0221,Rangpur Rangers
bpl0222,Sylhet Thunder
bpl0222,Chattogram Challengers
bpl0223,Chattogram Challengers
bpl0223,Khulna Tigers
bpl0224,Dhaka Platoon
bpl0224,Rajshahi Royals
bpl0225,Dhaka Platoon
bpl0225,Cumilla Warriors
bpl0226,Sylhet Thunder
bpl0226,Rajshahi Royals
bpl0227,Dhaka Platoon
bpl0227,Sylhet Thunder
bpl0228,Rangpur Rangers
bpl0228,Chattogram Challengers
bpl0229,Sylhet Thunder
bpl0229,Chattogram Challengers
bpl0230,Rajshahi Royals
bpl0230,Khulna Tigers
bpl0231,Chattogram Challengers
bpl0231,Dhaka Platoon
bpl0232,Rangpur Rangers
bpl0232,Cumilla Warriors
bpl0233,Chattogram Challengers
bpl0233,Cumilla Warriors
bpl0234,Rangpur Rangers
bpl0234,Khulna Tigers
bpl0235,Chattogram Challengers
bpl0235,Rangpur Rangers
bpl0236,Sylhet Thunder
bpl0236,Khulna Tigers
bpl0237,Khulna Tigers
bpl0237,Rajshahi Royals
bpl0238,Cumilla Warriors
bpl0238,Dhaka Platoon
bpl0239,Cumilla Warriors
bpl0239,Rajshahi Royals
bpl0240,Sylhet Thunder
bpl0240,Dhaka Platoon
bpl0241,Khulna Tigers
bpl0241,Rangpur Rangers
bpl0242,Dhaka Platoon
bpl0242,Chattogram Challengers
bpl0243,Sylhet Thunder
bpl0243,Khulna Tigers
bpl0244,Rajshahi Royals
bpl0244,Cumilla Warriors
bpl0245,Dhaka Platoon
bpl0245,Rajshahi Royals
bpl0246,Sylhet Thunder
bpl0246,Rangpur Rangers
bpl0247,Rangpur Rangers
bpl0247,Rajshahi Royals
bpl0248,Chattogram Challengers
bpl0248,Cumilla Warriors
bpl0249,Cumilla Warriors
