winner,by.runs,key,by.wickets,result,method
Surrey,2.0,ntb00372,,,
Lancashire,52.0,ntb00373,,,
Yorkshire,48.0,ntb00374,,,
Derbyshire,3.0,ntb00375,,,
Warwickshire,,ntb00376,6.0,,
Leicestershire,,ntb00377,3.0,,
Kent,,ntb00378,7.0,,
Surrey,4.0,ntb00379,,,
Northamptonshire,,ntb00380,6.0,,
Glamorgan,18.0,ntb00381,,,
Hampshire,19.0,ntb00382,,,
Essex,22.0,ntb00383,,,
Middlesex,,ntb00384,1.0,,
Gloucestershire,,ntb00385,6.0,,
Hampshire,29.0,ntb00386,,,
,,ntb00387,,tie,D/L
Kent,,ntb00388,8.0,,
Northamptonshire,,ntb00389,5.0,,
Leicestershire,,ntb00390,5.0,,
,,ntb00391,,no result,
Leicestershire,9.0,ntb00392,,,
Lancashire,,ntb00393,5.0,,
Glamorgan,,ntb00394,5.0,,
,,ntb00395,,no result,
Somerset,21.0,ntb00396,,,
Gloucestershire,8.0,ntb00397,,,
Surrey,10.0,ntb00398,,,
Derbyshire,,ntb00399,7.0,,
Sussex,,ntb00400,6.0,,
Middlesex,16.0,ntb00401,,,
Leicestershire,27.0,ntb00402,,,
Northamptonshire,2.0,ntb00403,,,D/L
Yorkshire,29.0,ntb00404,,,
Surrey,15.0,ntb00405,,,
Nottinghamshire,5.0,ntb00406,,,
Essex,,ntb00407,7.0,,
,,ntb00408,,no result,
Nottinghamshire,12.0,ntb00409,,,D/L
Yorkshire,37.0,ntb00410,,,
Lancashire,31.0,ntb00411,,,
Somerset,,ntb00412,5.0,,
,,ntb00413,,tie,D/L
Warwickshire,20.0,ntb00414,,,
Glamorgan,25.0,ntb00415,,,
Nottinghamshire,,ntb00416,9.0,,
Worcestershire,13.0,ntb00417,,,
Somerset,14.0,ntb00418,,,
Yorkshire,24.0,ntb00419,,,
Northamptonshire,,ntb00420,7.0,,
Kent,,ntb00421,7.0,,D/L
Middlesex,72.0,ntb00422,,,
,,ntb00423,,no result,
Durham,,ntb00424,6.0,,
Hampshire,24.0,ntb00425,,,D/L
Nottinghamshire,,ntb00426,5.0,,
Worcestershire,,ntb00427,8.0,,
Derbyshire,,ntb00428,7.0,,
Glamorgan,25.0,ntb00429,,,
Somerset,32.0,ntb00430,,,D/L
Warwickshire,,ntb00431,5.0,,
Warwickshire,2.0,ntb00432,,,
Kent,5.0,ntb00433,,,
,,ntb00434,,no result,
Derbyshire,,ntb00435,5.0,,
Hampshire,,ntb00436,6.0,,
Northamptonshire,11.0,ntb00437,,,
Gloucestershire,5.0,ntb00438,,,D/L
Sussex,,ntb00439,8.0,,
Essex,,ntb00440,4.0,,
Glamorgan,6.0,ntb00441,,,
Sussex,,ntb00442,5.0,,
Worcestershire,5.0,ntb00443,,,
Durham,1.0,ntb00444,,,
Nottinghamshire,8.0,ntb00445,,,
Lancashire,4.0,ntb00446,,,
Gloucestershire,,ntb00447,7.0,,
Nottinghamshire,,ntb00448,5.0,,
Northamptonshire,24.0,ntb00449,,,
Somerset,,ntb00450,4.0,,
Hampshire,,ntb00451,8.0,,
Middlesex,2.0,ntb00452,,,
Sussex,,ntb00453,5.0,,
Leicestershire,48.0,ntb00454,,,
Yorkshire,19.0,ntb00455,,,
Durham,13.0,ntb00456,,,
Nottinghamshire,,ntb00457,5.0,,
Essex,9.0,ntb00458,,,
Hampshire,,ntb00459,6.0,,
Kent,,ntb00460,6.0,,
Leicestershire,,ntb00461,4.0,,
Nottinghamshire,11.0,ntb00462,,,
Surrey,17.0,ntb00463,,,
Essex,,ntb00464,3.0,,
Warwickshire,,ntb00465,8.0,,
Glamorgan,1.0,ntb00466,,,
Middlesex,61.0,ntb00467,,,
Derbyshire,,ntb00468,3.0,,
Lancashire,,ntb00469,7.0,,
Kent,11.0,ntb00470,,,
Leicestershire,,ntb00471,4.0,,
Surrey,,ntb00472,2.0,,
Yorkshire,124.0,ntb00473,,,
Leicestershire,2.0,ntb00474,,,
Warwickshire,,ntb00475,2.0,,
Somerset,98.0,ntb00476,,,
,,ntb00477,,no result,
Glamorgan,,ntb00478,7.0,,
Surrey,10.0,ntb00479,,,
Derbyshire,48.0,ntb00480,,,
Sussex,55.0,ntb00481,,,
Hampshire,101.0,ntb00482,,,
Glamorgan,,ntb00483,9.0,,
Nottinghamshire,,ntb00484,5.0,,
