balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key,missing
6,Manchester,2015-05-22,male,T20,20,AG Prince,2015,club,Old Trafford,ntb00135,
6,Cardiff,2015-05-22,male,T20,20,RS Bopara,2015,club,Sophia Gardens,ntb00136,
6,Birmingham,2015-05-22,male,T20,20,A Javid,2015,club,Edgbaston,ntb00137,
6,Southampton,2015-05-22,male,T20,20,AJ Blake,2015,club,The Rose Bowl,ntb00138,
6,Bristol,2015-05-24,male,T20,20,M Klinger,2015,club,County Ground,ntb00139,
6,Leicester,2015-05-28,male,T20,20,KJ O'Brien,2015,club,Grace Road,ntb00140,
6,London,2015-05-28,male,T20,20,PR Stirling,2015,club,Lord's,ntb00141,
6,Worcester,2015-05-29,male,T20,20,DKH Mitchell,2015,club,"County Ground, New Road",ntb00142,
6,Hove,2015-05-29,male,T20,20,DJ Malan,2015,club,County Ground,ntb00143,
6,Beckenham,2015-05-29,male,T20,20,SA Northeast,2015,club,The Kent County Cricket Ground,ntb00144,
6,Northampton,2015-05-29,male,T20,20,WTS Porterfield,2015,club,County Ground,ntb00145,
6,Chelmsford,2015-05-29,male,T20,20,CH Gayle,2015,club,County Ground,ntb00146,
6,Chester-le-Street,2015-05-29,male,T20,20,JW Hastings,2015,club,Riverside Ground,ntb00147,
6,Derby,2015-05-29,male,T20,20,WA White,2015,club,County Ground,ntb00148,
6,Cardiff,2015-05-29,male,T20,20,GG Wagg,2015,club,Sophia Gardens,ntb00149,
6,Nottingham,2015-05-31,male,T20,20,MH Wessels,2015,club,Trent Bridge,ntb00150,
6,Taunton,2015-05-31,male,T20,20,CH Gayle,2015,club,The Cooper Associates County Ground,ntb00151,
6,Southampton,2015-06-04,male,T20,20,OA Shah,2015,club,The Rose Bowl,ntb00152,
6,Leeds,2015-06-05,male,T20,20,JC Buttler,2015,club,Headingley,ntb00153,
6,London,2015-06-05,male,T20,20,RS Bopara,2015,club,Kennington Oval,ntb00154,
6,Taunton,2015-06-05,male,T20,20,CH Gayle,2015,club,The Cooper Associates County Ground,ntb00155,
