decision,winner,key
field,Essex,ntb00422
bat,Middlesex,ntb00423
bat,Leicestershire,ntb00424
field,Hampshire,ntb00425
field,Nottinghamshire,ntb00426
field,Worcestershire,ntb00427
field,Derbyshire,ntb00428
field,Kent,ntb00429
field,Sussex,ntb00430
field,Warwickshire,ntb00431
field,Northamptonshire,ntb00432
bat,Kent,ntb00433
field,Leicestershire,ntb00434
bat,Yorkshire,ntb00435
bat,Middlesex,ntb00436
field,Lancashire,ntb00437
field,Glamorgan,ntb00438
bat,Surrey,ntb00439
field,Essex,ntb00440
bat,Glamorgan,ntb00441
bat,Kent,ntb00442
field,Warwickshire,ntb00443
bat,Durham,ntb00444
field,Derbyshire,ntb00445
field,Leicestershire,ntb00446
field,Gloucestershire,ntb00447
field,Nottinghamshire,ntb00448
field,Worcestershire,ntb00449
bat,Surrey,ntb00450
bat,Glamorgan,ntb00451
field,Sussex,ntb00452
field,Sussex,ntb00453
field,Northamptonshire,ntb00454
bat,Yorkshire,ntb00455
bat,Durham,ntb00456
field,Nottinghamshire,ntb00457
field,Middlesex,ntb00458
field,Hampshire,ntb00459
field,Kent,ntb00460
field,Leicestershire,ntb00461
field,Worcestershire,ntb00462
bat,Surrey,ntb00463
field,Essex,ntb00464
bat,Durham,ntb00465
field,Somerset,ntb00466
field,Gloucestershire,ntb00467
bat,Durham,ntb00468
field,Lancashire,ntb00469
field,Essex,ntb00470
field,Leicestershire,ntb00471
bat,Gloucestershire,ntb00472
bat,Yorkshire,ntb00473
field,Nottinghamshire,ntb00474
field,Warwickshire,ntb00475
bat,Somerset,ntb00476
field,Northamptonshire,ntb00477
field,Glamorgan,ntb00478
bat,Surrey,ntb00479
field,Worcestershire,ntb00480
field,Essex,ntb00481
field,Derbyshire,ntb00482
bat,Leicestershire,ntb00483
field,Nottinghamshire,ntb00484
field,Warwickshire,ntb00485
field,Warwickshire,ntb00486
field,Glamorgan,ntb00487
field,Hampshire,ntb00488
bat,Sussex,ntb00489
field,Birmingham Bears,ntb00490
field,Leicestershire,ntb00491
field,Durham,ntb00492
bat,Lancashire,ntb00493
bat,Surrey,ntb00494
field,Lancashire,ntb00495
field,Leicestershire,ntb00496
field,Somerset,ntb00497
field,Northamptonshire,ntb00498
bat,Kent,ntb00499
field,Hampshire,ntb00500
field,Birmingham Bears,ntb00501
bat,Middlesex,ntb00502
field,Leicestershire,ntb00503
field,Kent,ntb00504
field,Worcestershire,ntb00505
field,Birmingham Bears,ntb00506
bat,Glamorgan,ntb00507
bat,Northamptonshire,ntb00508
field,Gloucestershire,ntb00509
field,Kent,ntb00510
field,Sussex,ntb00511
bat,Surrey,ntb00512
field,Gloucestershire,ntb00513
field,Hampshire,ntb00514
field,Glamorgan,ntb00515
field,Birmingham Bears,ntb00516
bat,Yorkshire,ntb00517
field,Northamptonshire,ntb00518
field,Sussex,ntb00519
field,Derbyshire,ntb00520
bat,Lancashire,ntb00521
field,Worcestershire,ntb00522
bat,Durham,ntb00523
field,Nottinghamshire,ntb00524
field,Lancashire,ntb00525
bat,Middlesex,ntb00526
field,Northamptonshire,ntb00527
field,Nottinghamshire,ntb00528
field,Glamorgan,ntb00529
field,Durham,ntb00530
field,Birmingham Bears,ntb00531
field,Gloucestershire,ntb00532
bat,Surrey,ntb00533
bat,Hampshire,ntb00534
field,Yorkshire,ntb00535
bat,Hampshire,ntb00536
field,Hampshire,ntb00537
field,Lancashire,ntb00538
field,Worcestershire,ntb00539
bat,Leicestershire,ntb00540
bat,Yorkshire,ntb00541
field,Sussex,ntb00542
field,Surrey,ntb00543
field,Glamorgan,ntb00544
bat,Yorkshire,ntb00545
field,Durham,ntb00546
field,Middlesex,ntb00547
field,Yorkshire,ntb00548
bat,Yorkshire,ntb00549
bat,Surrey,ntb00550
field,Hampshire,ntb00551
bat,Sussex,ntb00552
bat,Kent,ntb00553
field,Northamptonshire,ntb00554
bat,Sussex,ntb00555
bat,Leicestershire,ntb00556
bat,Nottinghamshire,ntb00557
bat,Derbyshire,ntb00558
bat,Essex,ntb00559
field,Worcestershire,ntb00560
bat,Lancashire,ntb00561
bat,Northamptonshire,ntb00562
bat,Kent,ntb00563
bat,Middlesex,ntb00564
bat,Worcestershire,ntb00565
bat,Kent,ntb00566
field,Surrey,ntb00567
bat,Birmingham Bears,ntb00568
field,Glamorgan,ntb00569
field,Somerset,ntb00570
field,Essex,ntb00571
bat,Durham,ntb00572
field,Somerset,ntb00573
bat,Durham,ntb00574
bat,Derbyshire,ntb00575
field,Birmingham Bears,ntb00576
bat,Yorkshire,ntb00577
field,Surrey,ntb00578
bat,Worcestershire,ntb00579
field,Middlesex,ntb00580
bat,Nottinghamshire,ntb00581
field,Worcestershire,ntb00582
field,Northamptonshire,ntb00583
field,Glamorgan,ntb00584
field,Somerset,ntb00585
bat,Lancashire,ntb00586
field,Derbyshire,ntb00587
field,Glamorgan,ntb00588
field,Surrey,ntb00589
field,Hampshire,ntb00590
field,Durham,ntb00591
