key,date
ipl0388,2013-05-15
ipl0389,2013-05-16
ipl0390,2013-05-17
ipl0391,2013-05-18
ipl0392,2013-05-18
ipl0393,2013-05-19
ipl0394,2013-05-19
ipl0395,2013-05-21
ipl0396,2013-05-22
ipl0397,2013-05-24
ipl0398,2013-05-26
ipl0399,2014-04-16
ipl0400,2014-04-17
ipl0401,2014-04-18
ipl0402,2014-04-18
ipl0403,2014-04-19
ipl0404,2014-04-19
ipl0405,2014-04-20
ipl0406,2014-04-21
ipl0407,2014-04-22
ipl0408,2014-04-23
ipl0409,2014-04-24
ipl0410,2014-04-25
ipl0411,2014-04-25
ipl0412,2014-04-26
ipl0413,2014-04-26
ipl0414,2014-04-27
ipl0415,2014-04-27
ipl0416,2014-04-28
ipl0417,2014-04-29
ipl0418,2014-04-30
ipl0419,2014-05-02
ipl0420,2014-05-03
ipl0421,2014-05-03
ipl0422,2014-05-04
ipl0423,2014-05-05
ipl0424,2014-05-05
ipl0425,2014-05-06
ipl0426,2014-05-07
ipl0427,2014-05-07
ipl0428,2014-05-08
ipl0429,2014-05-09
ipl0430,2014-05-10
ipl0431,2014-05-10
ipl0432,2014-05-11
ipl0433,2014-05-11
ipl0434,2014-05-12
ipl0435,2014-05-13
ipl0436,2014-05-13
ipl0437,2014-05-14
ipl0438,2014-05-14
ipl0439,2014-05-15
ipl0440,2014-05-18
ipl0441,2014-05-18
ipl0442,2014-05-19
ipl0443,2014-05-19
ipl0444,2014-05-20
ipl0445,2014-05-20
ipl0446,2014-05-21
ipl0447,2014-05-22
ipl0448,2014-05-22
ipl0449,2014-05-23
ipl0450,2014-05-23
ipl0451,2014-05-24
ipl0452,2014-05-24
ipl0453,2014-05-25
ipl0454,2014-05-25
ipl0455,2014-05-27
ipl0455,2014-05-28
ipl0456,2014-05-28
ipl0457,2014-05-30
ipl0458,2014-06-01
ipl0459,2015-04-08
ipl0460,2015-04-09
ipl0461,2015-04-10
ipl0462,2015-04-11
ipl0463,2015-04-11
ipl0464,2015-04-12
ipl0465,2015-04-12
ipl0466,2015-04-13
ipl0467,2015-04-14
ipl0468,2015-04-15
ipl0469,2015-04-16
ipl0470,2015-04-17
ipl0471,2015-04-18
ipl0472,2015-04-18
ipl0473,2015-04-19
ipl0474,2015-04-19
ipl0475,2015-04-20
ipl0476,2015-04-21
ipl0477,2015-04-22
ipl0478,2015-04-22
ipl0479,2015-04-23
ipl0480,2015-04-24
ipl0481,2015-04-25
ipl0482,2015-04-25
ipl0483,2015-04-26
ipl0484,2015-04-27
ipl0485,2015-04-28
ipl0486,2015-04-29
ipl0487,2015-04-30
ipl0488,2015-05-01
ipl0489,2015-05-01
ipl0490,2015-05-02
ipl0491,2015-05-02
ipl0492,2015-05-03
ipl0493,2015-05-03
ipl0494,2015-05-04
ipl0495,2015-05-04
ipl0496,2015-05-05
ipl0497,2015-05-06
ipl0498,2015-05-07
ipl0499,2015-05-07
ipl0500,2015-05-08
ipl0501,2015-05-09
ipl0502,2015-05-09
ipl0503,2015-05-10
ipl0504,2015-05-10
ipl0505,2015-05-11
ipl0506,2015-05-12
ipl0507,2015-05-13
ipl0508,2015-05-14
ipl0509,2015-05-15
ipl0510,2015-05-16
ipl0511,2015-05-16
ipl0512,2015-05-17
ipl0513,2015-05-17
ipl0514,2015-05-19
ipl0515,2015-05-20
ipl0516,2015-05-22
ipl0517,2015-05-24
ipl0518,2016-04-09
ipl0519,2016-04-10
ipl0520,2016-04-11
ipl0521,2016-04-12
ipl0522,2016-04-13
ipl0523,2016-04-14
ipl0524,2016-04-15
ipl0525,2016-04-16
ipl0526,2016-04-16
ipl0527,2016-04-17
ipl0528,2016-04-17
ipl0529,2016-04-18
ipl0530,2016-04-19
ipl0531,2016-04-20
ipl0532,2016-04-21
ipl0533,2016-04-22
ipl0534,2016-04-23
ipl0535,2016-04-23
ipl0536,2016-04-24
ipl0537,2016-04-24
ipl0538,2016-04-25
ipl0539,2016-04-26
ipl0540,2016-04-27
ipl0541,2016-04-28
ipl0542,2016-04-29
ipl0543,2016-04-30
ipl0544,2016-04-30
ipl0545,2016-05-01
ipl0546,2016-05-01
ipl0547,2016-05-02
ipl0548,2016-05-03
ipl0549,2016-05-04
ipl0550,2016-05-05
ipl0551,2016-05-06
ipl0552,2016-05-07
ipl0553,2016-05-07
ipl0554,2016-05-08
ipl0555,2016-05-08
ipl0556,2016-05-09
ipl0557,2016-05-10
ipl0558,2016-05-11
ipl0559,2016-05-12
ipl0560,2016-05-13
ipl0561,2016-05-14
ipl0562,2016-05-14
ipl0563,2016-05-15
ipl0564,2016-05-15
ipl0565,2016-05-16
ipl0566,2016-05-17
ipl0567,2016-05-18
ipl0568,2016-05-19
ipl0569,2016-05-20
ipl0570,2016-05-21
ipl0571,2016-05-21
ipl0572,2016-05-22
ipl0573,2016-05-22
ipl0574,2016-05-24
ipl0575,2016-05-25
ipl0576,2016-05-27
ipl0577,2016-05-29
ipl0578,2017-04-05
ipl0579,2017-04-06
ipl0580,2017-04-07
ipl0581,2017-04-08
ipl0582,2017-04-08
ipl0583,2017-04-09
ipl0584,2017-04-09
ipl0585,2017-04-10
ipl0586,2017-04-11
ipl0587,2017-04-12
ipl0588,2017-04-13
ipl0589,2017-04-14
ipl0590,2017-04-14
ipl0591,2017-04-15
ipl0592,2017-04-15
ipl0593,2017-04-16
ipl0594,2017-04-16
ipl0595,2017-04-17
ipl0596,2017-04-17
ipl0597,2017-04-18
ipl0598,2017-04-19
ipl0599,2017-04-20
ipl0600,2017-04-21
ipl0601,2017-04-22
ipl0602,2017-04-22
ipl0603,2017-04-23
ipl0604,2017-04-23
ipl0605,2017-04-24
ipl0606,2017-04-26
ipl0607,2017-04-27
ipl0608,2017-04-28
ipl0609,2017-04-28
ipl0610,2017-04-29
ipl0611,2017-04-29
ipl0612,2017-04-30
ipl0613,2017-04-30
ipl0614,2017-05-01
ipl0615,2017-05-01
ipl0616,2017-05-02
ipl0617,2017-05-03
ipl0618,2017-05-04
ipl0619,2017-05-05
ipl0620,2017-05-06
ipl0621,2017-05-06
ipl0622,2017-05-07
ipl0623,2017-05-07
ipl0624,2017-05-08
ipl0625,2017-05-09
ipl0626,2017-05-10
ipl0627,2017-05-11
ipl0628,2017-05-12
ipl0629,2017-05-13
ipl0630,2017-05-13
ipl0631,2017-05-14
ipl0632,2017-05-14
ipl0633,2017-05-16
ipl0634,2017-05-17
ipl0634,2017-05-18
ipl0635,2017-05-19
ipl0636,2017-05-21
ipl0637,2018-04-07
ipl0638,2018-04-08
ipl0639,2018-04-08
ipl0640,2018-04-09
ipl0641,2018-04-10
ipl0642,2018-04-11
ipl0643,2018-04-12
ipl0644,2018-04-13
ipl0645,2018-04-14
ipl0646,2018-04-14
ipl0647,2018-04-15
ipl0648,2018-04-15
ipl0649,2018-04-16
ipl0650,2018-04-17
ipl0651,2018-04-18
ipl0652,2018-04-19
ipl0653,2018-04-20
ipl0654,2018-04-21
ipl0655,2018-04-21
ipl0656,2018-04-22
ipl0657,2018-04-22
ipl0658,2018-04-23
ipl0659,2018-04-24
ipl0660,2018-04-25
