key_id,decision,winner
t20s0493,bat,Zimbabwe
t20s0494,field,Sri Lanka
t20s0495,bat,Zimbabwe
t20s0496,bat,Sri Lanka
t20s0497,field,West Indies
t20s0498,field,Scotland
t20s0499,bat,England
t20s0500,field,Nepal
t20s0501,bat,Netherlands
t20s0502,bat,South Africa
t20s0503,bat,South Africa
t20s0504,field,Netherlands
t20s0505,field,Scotland
t20s0506,bat,United Arab Emirates
t20s0507,bat,Netherlands
t20s0508,bat,Afghanistan
t20s0509,field,Netherlands
t20s0510,field,Ireland
t20s0511,field,Hong Kong
t20s0512,bat,Ireland
t20s0513,bat,India
t20s0514,field,Ireland
t20s0515,field,Papua New Guinea
t20s0516,bat,Zimbabwe
t20s0517,bat,Afghanistan
t20s0518,bat,Papua New Guinea
t20s0519,field,Netherlands
t20s0520,field,Afghanistan
t20s0521,field,Scotland
t20s0522,bat,Pakistan
t20s0523,bat,Sri Lanka
t20s0524,field,Zimbabwe
t20s0525,field,South Africa
t20s0526,bat,New Zealand
t20s0527,field,Ireland
t20s0528,bat,Australia
t20s0529,bat,Australia
t20s0530,field,England
t20s0531,field,England
t20s0532,field,England
t20s0533,field,Australia
t20s0534,bat,Pakistan
t20s0535,bat,Pakistan
t20s0536,bat,Pakistan
t20s0537,bat,Pakistan
t20s0538,field,South Africa
t20s0539,field,South Africa
t20s0540,bat,Zimbabwe
t20s0541,bat,Zimbabwe
t20s0542,field,West Indies
t20s0543,field,West Indies
t20s0544,bat,West Indies
t20s0545,field,Bangladesh
t20s0546,bat,Bangladesh
t20s0547,field,Oman
t20s0548,field,United Arab Emirates
t20s0549,field,Hong Kong
t20s0550,field,Hong Kong
t20s0551,bat,England
t20s0552,bat,England
t20s0553,field,Oman
t20s0554,bat,England
t20s0555,bat,Bangladesh
t20s0556,field,Sri Lanka
t20s0557,bat,Afghanistan
t20s0558,field,Zimbabwe
t20s0559,field,New Zealand
t20s0560,bat,Zimbabwe
t20s0561,field,New Zealand
t20s0562,bat,Bangladesh
t20s0563,bat,Pakistan
t20s0564,bat,Zimbabwe
t20s0565,bat,Zimbabwe
t20s0566,field,Pakistan
t20s0567,field,Australia
t20s0568,field,Australia
t20s0569,field,India
t20s0570,field,Hong Kong
t20s0571,field,Hong Kong
t20s0572,bat,Australia
t20s0573,field,India
t20s0574,field,United Arab Emirates
t20s0575,bat,United Arab Emirates
t20s0576,field,Papua New Guinea
t20s0577,field,Sri Lanka
t20s0578,bat,Papua New Guinea
t20s0579,field,Sri Lanka
t20s0580,field,India
t20s0581,field,United Arab Emirates
t20s0582,bat,United Arab Emirates
t20s0583,field,South Africa
t20s0584,bat,Oman
t20s0585,bat,United Arab Emirates
t20s0586,field,South Africa
t20s0587,bat,Oman
t20s0588,bat,Hong Kong
t20s0589,field,England
t20s0590,field,South Africa
t20s0591,field,Oman
t20s0592,field,Hong Kong
t20s0593,field,Bangladesh
t20s0594,field,United Arab Emirates
t20s0595,field,United Arab Emirates
t20s0596,field,India
t20s0597,bat,Bangladesh
t20s0598,bat,United Arab Emirates
t20s0599,field,India
t20s0600,bat,Pakistan
