key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
msl0001,2,Tshwane Spartans,4.4,D Elgar,A Nortje,GL Cloete,2,0,0,2,,,,,,4,4
msl0001,2,Tshwane Spartans,4.5,D Elgar,A Nortje,GL Cloete,0,0,0,0,,,,,,4,5
msl0001,2,Tshwane Spartans,4.6,D Elgar,A Nortje,GL Cloete,0,0,0,0,,,,,,4,6
msl0001,2,Tshwane Spartans,5.1,GL Cloete,MP Siboto,D Elgar,0,0,0,0,,,,,,5,1
msl0001,2,Tshwane Spartans,5.2,GL Cloete,MP Siboto,D Elgar,0,0,0,0,FD Adams,caught,GL Cloete,,,5,2
msl0001,2,Tshwane Spartans,5.3,D Elgar,MP Siboto,AB de Villiers,0,0,0,0,,,,,,5,3
msl0001,2,Tshwane Spartans,5.4,D Elgar,MP Siboto,AB de Villiers,0,0,0,0,,,,,,5,4
msl0001,2,Tshwane Spartans,5.5,D Elgar,MP Siboto,AB de Villiers,4,0,0,4,,,,,,5,5
msl0001,2,Tshwane Spartans,5.6,D Elgar,MP Siboto,AB de Villiers,1,0,0,1,,,,,,5,6
msl0001,2,Tshwane Spartans,6.1,D Elgar,DL Piedt,AB de Villiers,0,0,0,0,,,,,,6,1
msl0001,2,Tshwane Spartans,6.2,D Elgar,DL Piedt,AB de Villiers,1,0,0,1,,,,,,6,2
msl0001,2,Tshwane Spartans,6.3,AB de Villiers,DL Piedt,D Elgar,2,0,0,2,,,,,,6,3
msl0001,2,Tshwane Spartans,6.4,AB de Villiers,DL Piedt,D Elgar,0,0,0,0,,,,,,6,4
msl0001,2,Tshwane Spartans,6.5,AB de Villiers,DL Piedt,D Elgar,1,0,0,1,,,,,,6,5
msl0001,2,Tshwane Spartans,6.6,D Elgar,DL Piedt,AB de Villiers,1,0,0,1,,,,,,6,6
