match_number,name,key,stage
22.0,Indian Premier League,ipl00345,nan
24.0,Indian Premier League,ipl00346,nan
25.0,Indian Premier League,ipl00347,nan
26.0,Indian Premier League,ipl00348,nan
27.0,Indian Premier League,ipl00349,nan
28.0,Indian Premier League,ipl00350,nan
29.0,Indian Premier League,ipl00351,nan
30.0,Indian Premier League,ipl00352,nan
31.0,Indian Premier League,ipl00353,nan
32.0,Indian Premier League,ipl00354,nan
33.0,Indian Premier League,ipl00355,nan
34.0,Indian Premier League,ipl00356,nan
35.0,Indian Premier League,ipl00357,nan
36.0,Indian Premier League,ipl00358,nan
37.0,Indian Premier League,ipl00359,nan
38.0,Indian Premier League,ipl00360,nan
39.0,Indian Premier League,ipl00361,nan
41.0,Indian Premier League,ipl00362,nan
40.0,Indian Premier League,ipl00363,nan
42.0,Indian Premier League,ipl00364,nan
43.0,Indian Premier League,ipl00365,nan
44.0,Indian Premier League,ipl00366,nan
45.0,Indian Premier League,ipl00367,nan
46.0,Indian Premier League,ipl00368,nan
47.0,Indian Premier League,ipl00369,nan
48.0,Indian Premier League,ipl00370,nan
49.0,Indian Premier League,ipl00371,nan
50.0,Indian Premier League,ipl00372,nan
51.0,Indian Premier League,ipl00373,nan
52.0,Indian Premier League,ipl00374,nan
53.0,Indian Premier League,ipl00375,nan
54.0,Indian Premier League,ipl00376,nan
55.0,Indian Premier League,ipl00377,nan
56.0,Indian Premier League,ipl00378,nan
57.0,Indian Premier League,ipl00379,nan
59.0,Indian Premier League,ipl00380,nan
58.0,Indian Premier League,ipl00381,nan
61.0,Indian Premier League,ipl00382,nan
60.0,Indian Premier League,ipl00383,nan
62.0,Indian Premier League,ipl00384,nan
63.0,Indian Premier League,ipl00385,nan
64.0,Indian Premier League,ipl00386,nan
65.0,Indian Premier League,ipl00387,nan
66.0,Indian Premier League,ipl00388,nan
67.0,Indian Premier League,ipl00389,nan
68.0,Indian Premier League,ipl00390,nan
69.0,Indian Premier League,ipl00391,nan
70.0,Indian Premier League,ipl00392,nan
71.0,Indian Premier League,ipl00393,nan
72.0,Indian Premier League,ipl00394,nan
,Indian Premier League,ipl00395,Qualifier 1
,Indian Premier League,ipl00396,Eliminator
,Indian Premier League,ipl00397,Qualifier 2
,Indian Premier League,ipl00398,Final
1.0,Indian Premier League,ipl00399,nan
2.0,Indian Premier League,ipl00400,nan
3.0,Indian Premier League,ipl00401,nan
4.0,Indian Premier League,ipl00402,nan
5.0,Indian Premier League,ipl00403,nan
6.0,Indian Premier League,ipl00404,nan
7.0,Indian Premier League,ipl00405,nan
8.0,Indian Premier League,ipl00406,nan
9.0,Indian Premier League,ipl00407,nan
10.0,Indian Premier League,ipl00408,nan
11.0,Indian Premier League,ipl00409,nan
12.0,Indian Premier League,ipl00410,nan
13.0,Indian Premier League,ipl00411,nan
15.0,Indian Premier League,ipl00412,nan
14.0,Indian Premier League,ipl00413,nan
16.0,Indian Premier League,ipl00414,nan
17.0,Indian Premier League,ipl00415,nan
18.0,Indian Premier League,ipl00416,nan
19.0,Indian Premier League,ipl00417,nan
20.0,Indian Premier League,ipl00418,nan
21.0,Indian Premier League,ipl00419,nan
22.0,Indian Premier League,ipl00420,nan
23.0,Indian Premier League,ipl00421,nan
24.0,Indian Premier League,ipl00422,nan
25.0,Indian Premier League,ipl00423,nan
26.0,Indian Premier League,ipl00424,nan
27.0,Indian Premier League,ipl00425,nan
28.0,Indian Premier League,ipl00426,nan
29.0,Indian Premier League,ipl00427,nan
30.0,Indian Premier League,ipl00428,nan
31.0,Indian Premier League,ipl00429,nan
32.0,Indian Premier League,ipl00430,nan
33.0,Indian Premier League,ipl00431,nan
35.0,Indian Premier League,ipl00432,nan
34.0,Indian Premier League,ipl00433,nan
36.0,Indian Premier League,ipl00434,nan
37.0,Indian Premier League,ipl00435,nan
38.0,Indian Premier League,ipl00436,nan
39.0,Indian Premier League,ipl00437,nan
40.0,Indian Premier League,ipl00438,nan
41.0,Indian Premier League,ipl00439,nan
42.0,Indian Premier League,ipl00440,nan
43.0,Indian Premier League,ipl00441,nan
44.0,Indian Premier League,ipl00442,nan
45.0,Indian Premier League,ipl00443,nan
46.0,Indian Premier League,ipl00444,nan
47.0,Indian Premier League,ipl00445,nan
48.0,Indian Premier League,ipl00446,nan
50.0,Indian Premier League,ipl00447,nan
49.0,Indian Premier League,ipl00448,nan
51.0,Indian Premier League,ipl00449,nan
52.0,Indian Premier League,ipl00450,nan
53.0,Indian Premier League,ipl00451,nan
54.0,Indian Premier League,ipl00452,nan
55.0,Indian Premier League,ipl00453,nan
56.0,Indian Premier League,ipl00454,nan
,Indian Premier League,ipl00455,Qualifier 1
,Indian Premier League,ipl00456,Eliminator
,Indian Premier League,ipl00457,Qualifier 2
,Indian Premier League,ipl00458,Final
1.0,Indian Premier League,ipl00459,nan
2.0,Indian Premier League,ipl00460,nan
3.0,Indian Premier League,ipl00461,nan
4.0,Indian Premier League,ipl00462,nan
5.0,Indian Premier League,ipl00463,nan
7.0,Indian Premier League,ipl00464,nan
6.0,Indian Premier League,ipl00465,nan
8.0,Indian Premier League,ipl00466,nan
9.0,Indian Premier League,ipl00467,nan
10.0,Indian Premier League,ipl00468,nan
11.0,Indian Premier League,ipl00469,nan
12.0,Indian Premier League,ipl00470,nan
13.0,Indian Premier League,ipl00471,nan
14.0,Indian Premier League,ipl00472,nan
15.0,Indian Premier League,ipl00473,nan
16.0,Indian Premier League,ipl00474,nan
17.0,Indian Premier League,ipl00475,nan
18.0,Indian Premier League,ipl00476,nan
19.0,Indian Premier League,ipl00477,nan
20.0,Indian Premier League,ipl00478,nan
21.0,Indian Premier League,ipl00479,nan
22.0,Indian Premier League,ipl00480,nan
24.0,Indian Premier League,ipl00481,nan
