team_1,team_2,key
Kings XI Punjab,Deccan Chargers,ipl00241
Delhi Daredevils,Pune Warriors,ipl00242
Kolkata Knight Riders,Mumbai Indians,ipl00243
Royal Challengers Bangalore,Chennai Super Kings,ipl00244
Royal Challengers Bangalore,Chennai Super Kings,ipl00245
Mumbai Indians,Kolkata Knight Riders,ipl00246
Royal Challengers Bangalore,Mumbai Indians,ipl00247
Chennai Super Kings,Royal Challengers Bangalore,ipl00248
Chennai Super Kings,Mumbai Indians,ipl00249
Kolkata Knight Riders,Delhi Daredevils,ipl00250
Rajasthan Royals,Kings XI Punjab,ipl00251
Mumbai Indians,Pune Warriors,ipl00252
Deccan Chargers,Chennai Super Kings,ipl00253
Royal Challengers Bangalore,Delhi Daredevils,ipl00254
Pune Warriors,Kings XI Punjab,ipl00255
Rajasthan Royals,Kolkata Knight Riders,ipl00256
Deccan Chargers,Mumbai Indians,ipl00257
Delhi Daredevils,Chennai Super Kings,ipl00258
Royal Challengers Bangalore,Kolkata Knight Riders,ipl00259
Mumbai Indians,Rajasthan Royals,ipl00260
Chennai Super Kings,Royal Challengers Bangalore,ipl00261
Kings XI Punjab,Pune Warriors,ipl00262
Kolkata Knight Riders,Rajasthan Royals,ipl00263
Pune Warriors,Chennai Super Kings,ipl00264
Kolkata Knight Riders,Kings XI Punjab,ipl00265
Royal Challengers Bangalore,Rajasthan Royals,ipl00266
Mumbai Indians,Delhi Daredevils,ipl00267
Rajasthan Royals,Deccan Chargers,ipl00268
Royal Challengers Bangalore,Pune Warriors,ipl00269
Kings XI Punjab,Kolkata Knight Riders,ipl00270
Delhi Daredevils,Deccan Chargers,ipl00271
Chennai Super Kings,Pune Warriors,ipl00272
Kings XI Punjab,Royal Challengers Bangalore,ipl00273
Delhi Daredevils,Pune Warriors,ipl00274
Chennai Super Kings,Rajasthan Royals,ipl00275
Mumbai Indians,Kings XI Punjab,ipl00276
Deccan Chargers,Kolkata Knight Riders,ipl00277
Rajasthan Royals,Royal Challengers Bangalore,ipl00278
Pune Warriors,Delhi Daredevils,ipl00279
Kings XI Punjab,Mumbai Indians,ipl00280
Pune Warriors,Deccan Chargers,ipl00281
Delhi Daredevils,Mumbai Indians,ipl00282
Chennai Super Kings,Kings XI Punjab,ipl00283
Kolkata Knight Riders,Royal Challengers Bangalore,ipl00284
Delhi Daredevils,Rajasthan Royals,ipl00285
Mumbai Indians,Deccan Chargers,ipl00286
Chennai Super Kings,Kolkata Knight Riders,ipl00287
Deccan Chargers,Pune Warriors,ipl00288
Rajasthan Royals,Delhi Daredevils,ipl00289
Royal Challengers Bangalore,Kings XI Punjab,ipl00290
Pune Warriors,Mumbai Indians,ipl00291
Chennai Super Kings,Deccan Chargers,ipl00292
Kolkata Knight Riders,Pune Warriors,ipl00293
Kings XI Punjab,Rajasthan Royals,ipl00294
Mumbai Indians,Chennai Super Kings,ipl00295
Royal Challengers Bangalore,Deccan Chargers,ipl00296
Delhi Daredevils,Kolkata Knight Riders,ipl00297
Pune Warriors,Rajasthan Royals,ipl00298
Deccan Chargers,Kings XI Punjab,ipl00299
Mumbai Indians,Royal Challengers Bangalore,ipl00300
Deccan Chargers,Delhi Daredevils,ipl00301
Rajasthan Royals,Chennai Super Kings,ipl00302
Pune Warriors,Royal Challengers Bangalore,ipl00303
Kolkata Knight Riders,Mumbai Indians,ipl00304
Chennai Super Kings,Delhi Daredevils,ipl00305
Rajasthan Royals,Pune Warriors,ipl00306
Kings XI Punjab,Deccan Chargers,ipl00307
Royal Challengers Bangalore,Mumbai Indians,ipl00308
Kolkata Knight Riders,Chennai Super Kings,ipl00309
Delhi Daredevils,Kings XI Punjab,ipl00310
Mumbai Indians,Kolkata Knight Riders,ipl00311
Kings XI Punjab,Chennai Super Kings,ipl00312
Delhi Daredevils,Royal Challengers Bangalore,ipl00313
Deccan Chargers,Rajasthan Royals,ipl00314
Kings XI Punjab,Delhi Daredevils,ipl00315
Pune Warriors,Kolkata Knight Riders,ipl00316
Deccan Chargers,Royal Challengers Bangalore,ipl00317
Rajasthan Royals,Mumbai Indians,ipl00318
Delhi Daredevils,Kolkata Knight Riders,ipl00319
Chennai Super Kings,Mumbai Indians,ipl00320
Delhi Daredevils,Chennai Super Kings,ipl00321
Kolkata Knight Riders,Chennai Super Kings,ipl00322
Kolkata Knight Riders,Delhi Daredevils,ipl00323
Royal Challengers Bangalore,Mumbai Indians,ipl00324
Sunrisers Hyderabad,Pune Warriors,ipl00325
Delhi Daredevils,Rajasthan Royals,ipl00326
Chennai Super Kings,Mumbai Indians,ipl00327
Pune Warriors,Kings XI Punjab,ipl00328
Sunrisers Hyderabad,Royal Challengers Bangalore,ipl00329
Rajasthan Royals,Kolkata Knight Riders,ipl00330
Mumbai Indians,Delhi Daredevils,ipl00331
Royal Challengers Bangalore,Sunrisers Hyderabad,ipl00332
Kings XI Punjab,Chennai Super Kings,ipl00333
Royal Challengers Bangalore,Kolkata Knight Riders,ipl00334
Pune Warriors,Rajasthan Royals,ipl00335
Delhi Daredevils,Sunrisers Hyderabad,ipl00336
Mumbai Indians,Pune Warriors,ipl00337
Chennai Super Kings,Royal Challengers Bangalore,ipl00338
Rajasthan Royals,Kings XI Punjab,ipl00339
Kolkata Knight Riders,Sunrisers Hyderabad,ipl00340
Chennai Super Kings,Pune Warriors,ipl00341
Kings XI Punjab,Kolkata Knight Riders,ipl00342
Royal Challengers Bangalore,Delhi Daredevils,ipl00343
Pune Warriors,Sunrisers Hyderabad,ipl00344
Rajasthan Royals,Mumbai Indians,ipl00345
Delhi Daredevils,Chennai Super Kings,ipl00346
Sunrisers Hyderabad,Kings XI Punjab,ipl00347
Kolkata Knight Riders,Chennai Super Kings,ipl00348
Royal Challengers Bangalore,Rajasthan Royals,ipl00349
Delhi Daredevils,Mumbai Indians,ipl00350
Kings XI Punjab,Pune Warriors,ipl00351
Chennai Super Kings,Rajasthan Royals,ipl00352
Royal Challengers Bangalore,Pune Warriors,ipl00353
Delhi Daredevils,Kings XI Punjab,ipl00354
Kolkata Knight Riders,Mumbai Indians,ipl00355
Chennai Super Kings,Sunrisers Hyderabad,ipl00356
Kolkata Knight Riders,Kings XI Punjab,ipl00357
Mumbai Indians,Royal Challengers Bangalore,ipl00358
Rajasthan Royals,Sunrisers Hyderabad,ipl00359
Chennai Super Kings,Kolkata Knight Riders,ipl00360
Delhi Daredevils,Pune Warriors,ipl00361
Rajasthan Royals,Royal Challengers Bangalore,ipl00362
Mumbai Indians,Kings XI Punjab,ipl00363
Pune Warriors,Chennai Super Kings,ipl00364
Sunrisers Hyderabad,Mumbai Indians,ipl00365
Delhi Daredevils,Kolkata Knight Riders,ipl00366
Chennai Super Kings,Kings XI Punjab,ipl00367
Pune Warriors,Royal Challengers Bangalore,ipl00368
Kolkata Knight Riders,Rajasthan Royals,ipl00369
Sunrisers Hyderabad,Delhi Daredevils,ipl00370
Mumbai Indians,Chennai Super Kings,ipl00371
Rajasthan Royals,Pune Warriors,ipl00372
Kings XI Punjab,Royal Challengers Bangalore,ipl00373
Rajasthan Royals,Delhi Daredevils,ipl00374
Mumbai Indians,Kolkata Knight Riders,ipl00375
Sunrisers Hyderabad,Chennai Super Kings,ipl00376
Kings XI Punjab,Rajasthan Royals,ipl00377
Pune Warriors,Kolkata Knight Riders,ipl00378
Delhi Daredevils,Royal Challengers Bangalore,ipl00379
Pune Warriors,Mumbai Indians,ipl00380
Kings XI Punjab,Sunrisers Hyderabad,ipl00381
Rajasthan Royals,Chennai Super Kings,ipl00382
Kolkata Knight Riders,Royal Challengers Bangalore,ipl00383
Mumbai Indians,Sunrisers Hyderabad,ipl00384
Chennai Super Kings,Delhi Daredevils,ipl00385
Royal Challengers Bangalore,Kings XI Punjab,ipl00386
Kolkata Knight Riders,Pune Warriors,ipl00387
Mumbai Indians,Rajasthan Royals,ipl00388
Kings XI Punjab,Delhi Daredevils,ipl00389
Sunrisers Hyderabad,Rajasthan Royals,ipl00390
Kings XI Punjab,Mumbai Indians,ipl00391
Royal Challengers Bangalore,Chennai Super Kings,ipl00392
Sunrisers Hyderabad,Kolkata Knight Riders,ipl00393
