decision,winner,key
field,Royal Challengers Bangalore,ipl00565
field,Rising Pune Supergiants,ipl00566
field,Kings XI Punjab,ipl00567
field,Gujarat Lions,ipl00568
field,Delhi Daredevils,ipl00569
field,Gujarat Lions,ipl00570
bat,Kings XI Punjab,ipl00571
field,Royal Challengers Bangalore,ipl00572
field,Sunrisers Hyderabad,ipl00573
field,Royal Challengers Bangalore,ipl00574
field,Kolkata Knight Riders,ipl00575
field,Sunrisers Hyderabad,ipl00576
bat,Sunrisers Hyderabad,ipl00577
field,Royal Challengers Bangalore,ipl00578
field,Rising Pune Supergiant,ipl00579
field,Kolkata Knight Riders,ipl00580
field,Kings XI Punjab,ipl00581
bat,Royal Challengers Bangalore,ipl00582
field,Sunrisers Hyderabad,ipl00583
field,Mumbai Indians,ipl00584
bat,Royal Challengers Bangalore,ipl00585
field,Rising Pune Supergiant,ipl00586
field,Mumbai Indians,ipl00587
field,Kolkata Knight Riders,ipl00588
field,Gujarat Lions,ipl00589
field,Mumbai Indians,ipl00590
field,Sunrisers Hyderabad,ipl00591
bat,Delhi Daredevils,ipl00592
field,Mumbai Indians,ipl00593
field,Royal Challengers Bangalore,ipl00594
bat,Delhi Daredevils,ipl00595
field,Kings XI Punjab,ipl00596
field,Gujarat Lions,ipl00597
bat,Sunrisers Hyderabad,ipl00598
field,Mumbai Indians,ipl00599
field,Gujarat Lions,ipl00600
field,Delhi Daredevils,ipl00601
field,Rising Pune Supergiant,ipl00602
field,Royal Challengers Bangalore,ipl00603
field,Gujarat Lions,ipl00604
field,Mumbai Indians,ipl00605
field,Kolkata Knight Riders,ipl00606
field,Gujarat Lions,ipl00607
field,Kolkata Knight Riders,ipl00608
field,Kings XI Punjab,ipl00609
field,Royal Challengers Bangalore,ipl00610
bat,Gujarat Lions,ipl00611
field,Kings XI Punjab,ipl00612
field,Kolkata Knight Riders,ipl00613
bat,Royal Challengers Bangalore,ipl00614
field,Rising Pune Supergiant,ipl00615
field,Delhi Daredevils,ipl00616
field,Rising Pune Supergiant,ipl00617
field,Delhi Daredevils,ipl00618
field,Royal Challengers Bangalore,ipl00619
field,Delhi Daredevils,ipl00620
field,Sunrisers Hyderabad,ipl00621
field,Gujarat Lions,ipl00622
field,Kolkata Knight Riders,ipl00623
bat,Mumbai Indians,ipl00624
field,Kolkata Knight Riders,ipl00625
field,Delhi Daredevils,ipl00626
field,Mumbai Indians,ipl00627
bat,Delhi Daredevils,ipl00628
field,Sunrisers Hyderabad,ipl00629
