decision,winner,key
field,Melbourne Renegades,bbl00140
bat,Adelaide Strikers,bbl00141
field,Melbourne Stars,bbl00142
field,Sydney Thunder,bbl00143
field,Adelaide Strikers,bbl00144
field,Melbourne Stars,bbl00145
bat,Perth Scorchers,bbl00146
bat,Brisbane Heat,bbl00147
bat,Sydney Thunder,bbl00148
bat,Hobart Hurricanes,bbl00149
field,Melbourne Stars,bbl00150
field,Sydney Sixers,bbl00151
field,Melbourne Renegades,bbl00152
bat,Adelaide Strikers,bbl00153
field,Melbourne Stars,bbl00154
field,Sydney Thunder,bbl00155
field,Sydney Sixers,bbl00156
field,Adelaide Strikers,bbl00157
field,Sydney Thunder,bbl00158
field,Adelaide Strikers,bbl00159
field,Sydney Sixers,bbl00160
bat,Hobart Hurricanes,bbl00161
bat,Perth Scorchers,bbl00162
field,Brisbane Heat,bbl00163
field,Perth Scorchers,bbl00164
field,Brisbane Heat,bbl00165
field,Sydney Sixers,bbl00166
field,Melbourne Stars,bbl00167
field,Sydney Thunder,bbl00168
field,Hobart Hurricanes,bbl00169
field,Sydney Sixers,bbl00170
field,Sydney Thunder,bbl00171
bat,Perth Scorchers,bbl00172
field,Adelaide Strikers,bbl00173
field,Melbourne Renegades,bbl00174
field,Sydney Thunder,bbl00175
bat,Melbourne Renegades,bbl00176
field,Melbourne Stars,bbl00177
field,Brisbane Heat,bbl00178
field,Hobart Hurricanes,bbl00179
bat,Sydney Sixers,bbl00180
bat,Perth Scorchers,bbl00181
field,Adelaide Strikers,bbl00182
bat,Melbourne Stars,bbl00183
field,Sydney Thunder,bbl00184
field,Brisbane Heat,bbl00185
field,Perth Scorchers,bbl00186
field,Sydney Sixers,bbl00187
field,Perth Scorchers,bbl00188
field,Sydney Sixers,bbl00189
field,Perth Scorchers,bbl00190
field,Sydney Thunder,bbl00191
field,Melbourne Stars,bbl00192
field,Melbourne Renegades,bbl00193
bat,Adelaide Strikers,bbl00194
field,Melbourne Renegades,bbl00195
field,Perth Scorchers,bbl00196
field,Melbourne Stars,bbl00197
bat,Sydney Thunder,bbl00198
field,Sydney Sixers,bbl00199
field,Perth Scorchers,bbl00200
field,Hobart Hurricanes,bbl00201
bat,Adelaide Strikers,bbl00202
field,Sydney Thunder,bbl00203
field,Perth Scorchers,bbl00204
field,Brisbane Heat,bbl00205
field,Melbourne Renegades,bbl00206
bat,Hobart Hurricanes,bbl00207
field,Perth Scorchers,bbl00208
field,Melbourne Renegades,bbl00209
bat,Adelaide Strikers,bbl00210
field,Perth Scorchers,bbl00211
bat,Hobart Hurricanes,bbl00212
bat,Melbourne Stars,bbl00213
bat,Hobart Hurricanes,bbl00214
bat,Sydney Thunder,bbl00215
field,Melbourne Renegades,bbl00216
field,Perth Scorchers,bbl00217
field,Sydney Sixers,bbl00218
bat,Brisbane Heat,bbl00219
field,Sydney Sixers,bbl00220
bat,Adelaide Strikers,bbl00221
field,Sydney Sixers,bbl00222
field,Sydney Thunder,bbl00223
field,Perth Scorchers,bbl00224
field,Melbourne Renegades,bbl00225
field,Sydney Sixers,bbl00226
field,Sydney Thunder,bbl00227
field,Perth Scorchers,bbl00228
field,Brisbane Heat,bbl00229
field,Melbourne Stars,bbl00230
field,Perth Scorchers,bbl00231
bat,Adelaide Strikers,bbl00232
bat,Adelaide Strikers,bbl00233
field,Adelaide Strikers,bbl00234
field,Melbourne Renegades,bbl00235
field,Melbourne Stars,bbl00236
bat,Sydney Sixers,bbl00237
field,Brisbane Heat,bbl00238
field,Melbourne Renegades,bbl00239
field,Hobart Hurricanes,bbl00240
field,Sydney Sixers,bbl00241
field,Perth Scorchers,bbl00242
field,Melbourne Stars,bbl00243
field,Hobart Hurricanes,bbl00244
field,Melbourne Renegades,bbl00245
field,Hobart Hurricanes,bbl00246
bat,Adelaide Strikers,bbl00247
field,Melbourne Stars,bbl00248
field,Sydney Sixers,bbl00249
bat,Sydney Thunder,bbl00250
field,Melbourne Renegades,bbl00251
field,Hobart Hurricanes,bbl00252
bat,Sydney Thunder,bbl00253
field,Brisbane Heat,bbl00254
bat,Adelaide Strikers,bbl00255
field,Melbourne Renegades,bbl00256
field,Sydney Thunder,bbl00257
field,Perth Scorchers,bbl00258
field,Melbourne Renegades,bbl00259
field,Melbourne Stars,bbl00260
bat,Sydney Thunder,bbl00261
field,Melbourne Renegades,bbl00262
field,Perth Scorchers,bbl00263
