batter,bowler,non_striker,runs_batter,runs_extras,runs_total,over,delivery_no,batting_team,inning_no,wickets_kind,wickets_player_out,review_by,review_umpire,review_batter,review_decision,bowling_team,key,review_umpires_call,replacements_role,review_type,extras_type
D Brevis,BC Fortuin,RD Rickelton,0,0,0,1,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,BC Fortuin,RD Rickelton,1,0,1,1,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,0,0,0,1,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,1,0,1,1,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,RR Simmonds,D Brevis,4,0,4,2,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,RR Simmonds,D Brevis,4,0,4,2,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,RR Simmonds,D Brevis,4,0,4,2,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,RR Simmonds,D Brevis,0,0,0,2,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,RR Simmonds,D Brevis,0,0,0,2,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,RR Simmonds,D Brevis,1,0,1,2,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,4,0,4,3,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,1,0,1,3,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,BC Fortuin,RD Rickelton,1,0,1,3,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,1,0,1,3,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,BC Fortuin,RD Rickelton,0,0,0,3,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,BC Fortuin,RD Rickelton,0,0,0,3,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,FD Adams,D Brevis,1,0,1,4,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
